map,Team,Pistol Won,Eco (won),Semi-eco (won),Semi-buy (won),Full buy(won),match_id
Pearl,NAVI,1,3 (1),1 (0),4 (1),13 (6),459850
Pearl,TH,1,3 (1),1 (0),5 (4),12 (8),459850
it,NAVI,1,7 (1),2 (0),8 (3),20 (7),459850
it,TH,3,5 (3),1 (0),8 (7),23 (16),459850
Ascent,BBL,1,3 (1),2 (1),5 (3),38 (20),459852
Ascent,FUT,1,4 (1),1 (0),4 (2),39 (20),459852
Icebox,BBL,1,3 (1),0 (0),5 (3),16 (9),459852
Icebox,FUT,1,4 (1),2 (0),3 (2),15 (8),459852
All Maps,BBL,2,6 (2),2 (1),10 (6),54 (29),459852
All Maps,FUT,2,8 (2),3 (0),7 (4),54 (28),459852
Lotus,GX,2,2 (2),1 (0),6 (3),11 (8),459853
Lotus,APK,0,4 (0),1 (0),2 (1),13 (6),459853
Ascent,GX,0,4 (2),1 (0),1 (0),16 (11),459853
Ascent,APK,2,3 (2),3 (1),5 (1),11 (5),459853
All Maps,GX,2,6 (4),2 (0),7 (3),27 (19),459853
All Maps,APK,2,7 (2),4 (1),7 (2),24 (11),459853
Split,M8,0,4 (0),1 (1),1 (1),18 (11),459854
Split,MKOI,2,2 (2),2 (0),8 (5),12 (4),459854
Icebox,M8,0,4 (0),3 (0),2 (2),10 (4),459854
Icebox,MKOI,2,2 (2),0 (0),5 (3),12 (8),459854
All Maps,M8,0,4 (0),2 (1),5 (1),11 (7),459854
All Maps,MKOI,2,2 (2),2 (0),7 (4),11 (7),459854
Haven,VIT,0,5 (0),1 (0),5 (1),7 (4),459855
Haven,NAVI,2,3 (3),0 (0),6 (3),9 (7),459855
Icebox,VIT,1,3 (1),0 (0),8 (3),13 (7),459855
Icebox,NAVI,1,3 (1),0 (0),1 (1),20 (11),459855
All Maps,VIT,1,8 (1),1 (0),13 (4),20 (11),459855
All Maps,NAVI,3,6 (4),0 (0),7 (4),29 (18),459855
Split,TL,0,4 (0),1 (0),3 (1),14 (8),459856
Split,KC,2,2 (2),0 (0),8 (4),12 (7),459856
Icebox,TL,1,3 (2),1 (0),4 (3),11 (8),459856
Icebox,KC,1,3 (1),1 (1),9 (3),6 (1),459856
All Maps,TL,1,7 (2),2 (0),7 (4),25 (16),459856
All Maps,KC,3,5 (3),1 (1),17 (7),18 (8),459856
Lotus,FNC,2,2 (2),2 (0),11 (2),3 (1),459857
Lotus,TH,0,5 (1),0 (0),1 (0),12 (12),459857
Haven,FNC,0,4 (1),1 (0),5 (1),13 (8),459857
Haven,TH,2,2 (2),2 (0),5 (3),14 (8),459857
All Maps,FNC,2,6 (3),3 (0),16 (3),16 (9),459857
All Maps,TH,2,7 (3),2 (0),6 (3),26 (20),459857
Lotus,BBL,0,3 (1),1 (0),0 (0),18 (12),482503
Lotus,NAVI,2,2 (2),2 (0),8 (2),10 (5),482503
Fracture,BBL,0,4 (0),0 (0),5 (5),14 (8),482503
Fracture,NAVI,2,2 (2),2 (0),6 (3),13 (5),482503
All Maps,BBL,0,7 (1),1 (0),5 (5),32 (20),482503
All Maps,NAVI,4,4 (4),4 (0),14 (5),23 (10),482503
Lotus,FNC,1,3 (1),0 (0),5 (5),13 (7),482504
Lotus,FUT,1,4 (1),0 (0),5 (2),12 (5),482504
Split,FNC,0,4 (1),0 (0),1 (1),14 (11),482504
Split,FUT,2,4 (2),1 (0),5 (2),9 (2),482504
All Maps,FNC,1,7 (2),0 (0),6 (6),27 (18),482504
All Maps,FUT,3,8 (3),1 (0),10 (4),21 (7),482504
