map,Team,Pistol Won,Eco (won),Semi-eco (won),Semi-buy (won),Full buy(won),match_id
Abyss,C9,1,3 (1),1 (0),5 (3),14 (6),428004
Abyss,MIBR,1,3 (1),1 (0),4 (3),15 (9),428004
All Maps,C9,1,3 (1),1 (0),8 (3),8 (3),428004
All Maps,MIBR,1,3 (1),1 (1),4 (3),12 (8),428004
Abyss,KRÜ,2,2 (2),1 (1),3 (2),10 (8),428006
Abyss,2G,0,3 (0),1 (0),7 (1),5 (2),428006
Split,KRÜ,2,2 (2),0 (0),4 (4),9 (7),428006
Split,2G,0,3 (0),2 (0),4 (1),6 (1),428006
All Maps,KRÜ,4,4 (4),1 (1),7 (6),19 (15),428006
All Maps,2G,0,6 (0),3 (0),11 (2),11 (3),428006
Lotus,100T,2,2 (2),0 (0),7 (4),17 (8),428005
Lotus,NRG,0,4 (0),1 (0),2 (2),19 (10),428005
Pearl,100T,0,4 (0),2 (0),3 (2),13 (7),428005
Pearl,NRG,2,2 (2),4 (3),6 (3),10 (5),428005
All Maps,100T,0,4 (0),0 (0),3 (1),15 (8),428005
All Maps,NRG,2,2 (2),0 (0),5 (5),15 (6),428005
Lotus,LOUD,1,3 (1),2 (1),3 (2),16 (9),427999
Lotus,SEN,1,3 (1),0 (0),7 (3),14 (7),427999
Pearl,LOUD,1,4 (1),0 (0),4 (2),16 (8),427999
Pearl,SEN,1,3 (1),2 (0),4 (3),15 (9),427999
All Maps,LOUD,1,3 (1),2 (0),4 (3),13 (5),427999
All Maps,SEN,1,3 (1),2 (0),3 (2),14 (10),427999
Pearl,G2,1,3 (1),0 (0),4 (3),11 (9),428000
Pearl,LEV,1,4 (1),2 (0),6 (1),6 (3),428000
Fracture,G2,1,3 (1),2 (1),6 (5),11 (6),428000
Fracture,LEV,1,3 (1),3 (2),5 (1),11 (5),428000
All Maps,G2,2,6 (2),2 (1),10 (8),22 (15),428000
All Maps,LEV,2,7 (2),5 (2),11 (2),17 (8),428000
Abyss,EG,1,3 (2),2 (0),8 (3),10 (5),428007
Abyss,MIBR,1,3 (1),2 (1),3 (0),15 (11),428007
Split,EG,1,2 (1),2 (0),6 (2),6 (0),428007
Split,MIBR,1,3 (2),0 (0),3 (3),10 (8),428007
All Maps,EG,2,5 (3),4 (0),14 (5),16 (5),428007
All Maps,MIBR,2,6 (3),2 (1),6 (3),25 (19),428007
Abyss,NRG,0,4 (0),1 (0),4 (1),12 (7),428008
Abyss,KRÜ,2,2 (2),2 (0),6 (4),11 (7),428008
Haven,NRG,1,3 (1),1 (0),6 (5),13 (7),428008
Haven,KRÜ,1,3 (1),1 (0),5 (3),14 (6),428008
All Maps,NRG,1,3 (1),1 (0),8 (4),8 (2),428008
All Maps,KRÜ,1,3 (2),0 (0),3 (2),14 (9),428008
Lotus,LEV,1,3 (1),1 (0),4 (3),12 (9),428009
Lotus,MIBR,1,3 (1),0 (0),7 (2),10 (4),428009
Pearl,LEV,1,3 (1),1 (0),6 (4),12 (4),428009
Pearl,MIBR,1,3 (1),0 (0),6 (5),13 (7),428009
All Maps,LEV,1,3 (1),0 (0),8 (3),15 (8),428009
All Maps,MIBR,1,3 (1),2 (1),3 (2),18 (10),428009
Bind,LOUD,1,4 (1),1 (0),4 (1),9 (3),428010
Bind,KRÜ,1,3 (2),1 (1),1 (1),13 (9),428010
Haven,LOUD,1,3 (1),1 (0),6 (3),14 (7),428010
Haven,KRÜ,1,3 (1),1 (0),5 (2),15 (10),428010
All Maps,LOUD,2,7 (2),2 (0),10 (4),23 (10),428010
All Maps,KRÜ,2,6 (3),2 (1),6 (3),28 (19),428010
Abyss,SEN,1,3 (1),1 (0),7 (4),9 (2),428001
Abyss,G2,1,3 (1),1 (0),3 (3),13 (9),428001
