player,player_name,team,player_id,agents,agents_count,rounds,rating,acs,kd_ratio,kast,adr,kpr,apr,fkpr,fdpr,hs_percent,cl_percent,clutches,k_max,kills,deaths,assists,first_kills,first_deaths
happywei,happywei,XLG,37927,"['Cypher', 'Killjoy']",2,75,1.06,223.0,0.97,61%,147.0,0.76,0.17,0.16,0.15,45%,12%,2/17,20,57,59,13,12,11
kaajak,kaajak,FNC,9554,"['Yoru', 'Neon', 'Raze', 'Jett']",4,419,1.06,218.3,1.13,71%,141.5,0.78,0.16,0.19,0.16,35%,18%,7/39,32,327,290,66,79,65
rushia,rushia,BLG,48878,"['Harbor', 'Omen']",2,179,1.03,201.9,0.99,72%,130.6,0.7,0.38,0.12,0.08,27%,10%,2/21,23,126,127,68,22,15
Karon,Karon,GEN,34974,['Omen'],1,255,1.03,189.3,1.09,76%,125.6,0.69,0.32,0.09,0.09,31%,11%,4/35,24,176,161,81,22,23
crashies,crashies,FNC,4,"['Sova', 'Fade']",2,419,1.03,181.8,1.07,74%,126.4,0.65,0.29,0.05,0.03,34%,10%,5/51,26,273,254,120,20,11
Ash,Ash,GEN,25017,"['Sova', 'Tejo', 'Fade']",3,255,1.02,173.9,1.05,74%,118.3,0.62,0.22,0.05,0.03,31%,15%,5/33,19,158,150,57,14,7
PatMen,PatMen,PRX,13744,"['Fade', 'Viper', 'Kayo']",3,387,1.01,193.0,1.02,73%,124.2,0.68,0.32,0.06,0.08,31%,24%,10/41,22,263,257,123,24,32
penny,penny,TL,7716,"['Omen', 'Phoenix', 'Jett', 'Raze']",4,121,1.0,188.4,0.98,73%,131.3,0.67,0.29,0.12,0.1,20%,22%,2/9,30,81,83,35,15,12
Munchkin,Munchkin,GEN,2489,"['Viper', 'Kayo']",2,255,0.99,207.8,1.02,72%,134.1,0.68,0.35,0.1,0.1,22%,5%,1/19,21,174,170,90,25,26
bang,bang,SEN,3880,"['Omen', 'Viper']",2,249,0.99,188.1,0.99,72%,112.5,0.69,0.33,0.08,0.08,34%,14%,3/21,19,171,172,83,21,19
johnqt,johnqt,SEN,1265,"['Skye', 'Viper', 'Kayo', 'Breach']",4,249,0.99,166.3,0.94,77%,109.7,0.59,0.38,0.05,0.07,26%,8%,3/36,18,147,156,95,13,17
Zellsis,Zellsis,SEN,729,"['Viper', 'Vyse', 'Killjoy', 'Cypher']",4,249,0.99,173.6,0.95,70%,118.2,0.61,0.28,0.07,0.09,21%,12%,4/33,20,152,160,69,17,23
jawgemo,jawgemo,G2,3993,"['Yoru', 'Neon', 'Sage']",3,198,0.98,217.1,1.0,72%,143.7,0.73,0.25,0.16,0.19,23%,0%,0/11,19,144,144,50,32,38
Monyet,Monyet,RRQ,8497,"['Omen', 'Viper', 'Neon']",3,100,0.97,196.4,0.89,67%,130.3,0.66,0.31,0.05,0.13,26%,0%,0/9,17,66,74,31,5,13
something,something,PRX,17086,"['Yoru', 'Jett', 'Gekko', 'Sova']",4,387,0.96,192.2,1.0,73%,123.9,0.68,0.2,0.14,0.15,25%,8%,3/39,22,265,265,78,54,58
kamo,kamo,TL,14681,"['Clove', 'Neon', 'Chamber', 'Yoru', 'Waylay']",5,187,0.96,210.8,0.99,70%,141.9,0.75,0.2,0.16,0.17,35%,20%,1/5,26,140,141,38,30,32
Juicy,Juicy,WOL,7426,"['Raze', 'Yoru', 'Jett']",3,349,0.95,212.0,1.0,67%,139.5,0.74,0.19,0.19,0.17,25%,31%,5/16,23,260,260,65,65,61
Wo0t,Wo0t,TH,21328,"['Breach', 'Gekko', 'Jett', 'Fade']",4,81,0.94,183.0,0.86,68%,118.9,0.63,0.36,0.1,0.15,34%,10%,1/10,17,51,59,29,8,12
nephh,nephh,BLG,10698,"['Viper', 'Breach', 'Kayo', 'Skye']",4,179,0.93,178.6,0.87,72%,117.9,0.59,0.46,0.07,0.08,22%,17%,3/18,21,106,122,82,12,14
valyn,valyn,G2,3885,['Omen'],1,198,0.93,172.1,0.86,75%,109.6,0.61,0.37,0.07,0.08,22%,6%,1/18,20,121,140,73,14,16
JonahP,JonahP,G2,4581,"['Breach', 'Viper', 'Fade']",3,198,0.93,178.8,0.9,76%,113.2,0.61,0.39,0.04,0.14,24%,8%,1/13,20,120,133,77,8,27
Lysoar,Lysoar,WOL,37489,"['Omen', 'Vyse', 'Deadlock', 'Killjoy', 'Cypher']",5,349,0.91,174.5,0.88,72%,112.1,0.6,0.33,0.08,0.06,25%,13%,5/38,19,211,241,115,28,22
SiuFatBB,SiuFatBB,WOL,7849,"['Fade', 'Sova']",2,349,0.91,151.1,0.88,70%,99.9,0.54,0.25,0.03,0.05,28%,23%,15/65,17,190,217,88,12,16
paTiTek,paTiTek,TL,309,"['Kayo', 'Sova', 'Fade']",3,187,0.91,183.1,0.88,72%,117.7,0.61,0.21,0.09,0.07,27%,8%,2/24,23,114,130,39,17,14
Levius,Levius,BLG,40845,"['Killjoy', 'Cypher', 'Vyse', 'Viper']",4,179,0.9,158.1,0.94,70%,111.4,0.59,0.16,0.03,0.11,23%,0%,0/26,19,105,112,28,5,19
xffero,xffero,RRQ,4871,"['Cypher', 'Killjoy', 'Viper']",3,100,0.9,175.2,0.89,65%,118.8,0.64,0.17,0.07,0.07,32%,8%,1/13,15,64,72,17,7,7
Yuicaw,Yuicaw,WOL,11218,"['Cypher', 'Killjoy', 'Chamber', 'Gekko', 'Raze']",5,349,0.89,175.0,0.89,63%,117.3,0.62,0.19,0.09,0.1,27%,9%,4/47,24,218,244,68,33,34
Foxy9,Foxy9,GEN,11600,"['Deadlock', 'Killjoy', 'Vyse']",3,255,0.88,179.2,0.98,71%,111.6,0.65,0.18,0.08,0.08,32%,28%,7/25,21,167,170,46,20,21
Kushy,Kushy,RRQ,4866,"['Sova', 'Vyse']",2,100,0.88,174.0,0.86,70%,114.0,0.62,0.22,0.01,0.05,39%,17%,2/12,23,62,72,22,1,5
nAts,nAts,TL,457,"['Viper', 'Cypher']",2,111,0.88,186.0,0.88,74%,121.2,0.64,0.2,0.08,0.05,28%,12%,2/17,18,71,81,22,9,6
Rarga,Rarga,XLG,22047,"['Neon', 'Jett', 'Yoru']",3,75,0.86,217.0,0.88,64%,136.1,0.76,0.16,0.2,0.25,41%,33%,2/6,20,57,65,12,15,19
RieNs,RieNs,TH,10971,"['Fade', 'Sova', 'Viper']",3,81,0.85,191.5,0.84,63%,125.0,0.63,0.25,0.09,0.12,28%,0%,0/7,17,51,61,20,7,10
benjyfishy,benjyfishy,TH,29873,"['Killjoy', 'Cypher']",2,81,0.85,178.8,0.85,62%,119.9,0.63,0.11,0.12,0.06,30%,17%,2/12,18,51,60,9,10,5
Jemkin,Jemkin,RRQ,24895,"['Jett', 'Raze', 'Yoru']",3,100,0.85,196.8,0.88,66%,138.2,0.69,0.14,0.21,0.16,33%,0%,0/5,19,69,78,14,21,16
Boaster,Boaster,FNC,438,"['Omen', 'Astra', 'Viper']",3,419,0.84,143.4,0.76,72%,94.4,0.47,0.36,0.08,0.08,25%,9%,3/35,21,199,261,149,33,33
Knight,Knight,BLG,4774,"['Sova', 'Fade', 'Cypher']",3,179,0.83,149.1,0.81,69%,105.0,0.51,0.23,0.06,0.09,26%,7%,1/15,18,92,113,42,11,16
Serial,Serial,TL,18162,"['Gekko', 'Killjoy', 'Cypher', 'Astra']",4,142,0.83,155.2,0.84,66%,103.1,0.57,0.16,0.09,0.07,45%,32%,6/19,20,81,97,23,13,10
