map,Team,Pistol Won,Eco (won),Semi-eco (won),Semi-buy (won),Full buy(won),match_id
Ascent,GEN,2,2 (2),2 (0),7 (6),13 (5),490310
Icebox,PRX,0,4 (0),1 (0),4 (0),7 (3),490310
Icebox,GEN,2,2 (2),0 (0),2 (1),12 (10),490310
pearl,PRX,0,8 (0),2 (0),8 (2),22 (12),490310
pearl,GEN,4,4 (4),2 (0),9 (7),25 (15),490310
Pearl,TH,0,4 (1),0 (0),2 (0),17 (9),490312
Pearl,WOL,2,4 (2),0 (0),8 (5),11 (6),490312
Lotus,TH,1,3 (1),2 (0),5 (3),12 (5),490312
Lotus,WOL,1,3 (1),1 (0),3 (2),15 (10),490312
All Maps,TH,1,7 (2),2 (0),7 (3),29 (14),490312
All Maps,WOL,3,7 (3),1 (0),11 (7),26 (16),490312
Icebox,TL,2,2 (2),2 (1),3 (2),12 (8),490313
Icebox,MIBR,0,4 (0),0 (0),4 (1),11 (5),490313
Sunset,TL,2,2 (2),0 (0),7 (5),11 (6),490313
Sunset,MIBR,0,3 (0),3 (0),5 (3),9 (4),490313
All Maps,TL,4,4 (4),2 (1),10 (7),23 (14),490313
All Maps,MIBR,0,7 (0),3 (0),9 (4),20 (9),490313
Ascent,BLG,2,2 (2),2 (0),7 (3),12 (5),490315
Ascent,WOL,0,5 (0),0 (0),3 (3),15 (10),490315
Split,BLG,0,4 (1),0 (0),8 (2),6 (2),490315
Split,WOL,2,3 (2),1 (1),4 (3),10 (7),490315
All Maps,BLG,2,6 (3),2 (0),15 (5),18 (7),490315
All Maps,WOL,2,8 (2),1 (1),7 (6),25 (17),490315
Split,PRX,0,4 (0),2 (1),2 (1),20 (11),490314
Split,TL,2,2 (2),2 (1),8 (5),16 (7),490314
Sunset,PRX,1,3 (1),0 (0),2 (2),13 (10),490314
Sunset,TL,1,3 (1),2 (0),5 (1),8 (3),490314
All Maps,PRX,1,3 (1),0 (0),5 (1),18 (12),490314
All Maps,TL,1,3 (1),2 (0),7 (2),14 (9),490314
Split,G2,2,2 (2),4 (1),5 (2),12 (5),498622
Split,PRX,0,4 (0),0 (0),3 (1),16 (12),498622
Lotus,G2,0,2 (0),1 (0),8 (5),13 (6),498622
Lotus,PRX,2,3 (2),1 (1),7 (5),13 (5),498622
Icebox,G2,2,4 (2),5 (1),13 (7),25 (11),498622
Icebox,PRX,2,7 (2),1 (1),10 (6),29 (17),498622
Sunset,XLG,1,3 (1),3 (0),6 (3),7 (2),498621
Sunset,SEN,1,3 (1),0 (0),2 (1),14 (11),498621
Lotus,XLG,1,3 (1),2 (0),7 (3),7 (2),498621
Lotus,SEN,1,3 (1),1 (1),2 (1),13 (10),498621
Haven,XLG,2,6 (2),5 (0),13 (6),14 (4),498621
Haven,SEN,2,6 (2),1 (1),4 (2),27 (21),498621
Ascent,RRQ,0,4 (0),2 (0),1 (1),17 (10),498623
Ascent,WOL,2,3 (2),2 (0),6 (4),13 (7),498623
Icebox,RRQ,1,3 (1),1 (0),3 (1),14 (6),498623
Icebox,WOL,1,4 (1),2 (0),2 (1),13 (11),498623
All Maps,RRQ,1,7 (1),3 (0),4 (2),31 (16),498623
All Maps,WOL,3,7 (3),4 (0),8 (5),26 (18),498623
Haven,FNC,0,4 (0),0 (0),5 (3),15 (8),498624
Haven,GEN,2,2 (2),1 (0),6 (4),15 (7),498624
Split,FNC,1,4 (1),0 (0),11 (6),11 (7),498624
Split,GEN,1,3 (1),1 (0),4 (1),18 (10),498624
All Maps,FNC,2,2 (2),2 (0),8 (3),7 (1),498624
All Maps,GEN,0,3 (1),1 (1),0 (0),15 (11),498624
Icebox,XLG,1,4 (1),3 (0),4 (0),5 (2),498629
Icebox,G2,1,2 (1),0 (0),4 (3),10 (9),498629
Haven,XLG,1,3 (1),4 (1),3 (2),11 (4),498629
Haven,G2,1,3 (1),1 (0),4 (3),13 (9),498629
All Maps,XLG,2,7 (2),7 (1),7 (2),16 (6),498629
All Maps,G2,2,5 (2),1 (0),8 (6),23 (18),498629
Lotus,RRQ,1,3 (2),2 (0),7 (2),6 (1),498630
Lotus,FNC,1,3 (1),1 (1),2 (1),12 (10),498630
Haven,RRQ,1,4 (1),0 (0),3 (2),12 (10),498630
Haven,FNC,1,3 (1),2 (0),5 (1),9 (4),498630
All Maps,RRQ,1,3 (1),4 (0),3 (1),8 (3),498630
All Maps,FNC,1,3 (1),0 (0),3 (2),12 (10),498630
Split,WOL,1,4 (1),1 (0),5 (3),14 (9),498626
Split,GEN,1,2 (1),2 (0),6 (3),14 (7),498626
Sunset,WOL,1,4 (2),2 (0),3 (2),13 (9),498626
Sunset,GEN,1,3 (2),2 (0),3 (1),14 (6),498626
All Maps,WOL,2,8 (3),3 (0),8 (5),27 (18),498626
All Maps,GEN,2,5 (3),4 (0),9 (4),28 (13),498626
Split,SEN,0,3 (0),1 (1),5 (1),7 (1),498625
Split,PRX,2,2 (2),0 (0),7 (6),7 (5),498625
Sunset,SEN,1,3 (1),1 (0),7 (5),13 (5),498625
Sunset,PRX,1,3 (1),1 (0),2 (1),18 (11),498625
Ascent,SEN,1,6 (1),2 (1),12 (6),20 (6),498625
Ascent,PRX,3,5 (3),1 (0),9 (7),25 (16),498625
Lotus,GEN,1,3 (1),2 (0),5 (2),10 (4),498631
Lotus,G2,1,3 (1),0 (0),4 (2),13 (10),498631
Haven,GEN,2,2 (2),0 (0),9 (4),13 (7),498631
Haven,G2,0,3 (0),1 (0),7 (4),13 (7),498631
All Maps,GEN,2,2 (2),1 (0),7 (3),14 (6),498631
All Maps,G2,0,3 (0),3 (0),3 (2),15 (11),498631
Sunset,SEN,2,2 (2),0 (0),7 (6),13 (5),498632
Sunset,FNC,0,4 (0),0 (0),9 (6),9 (3),498632
Ascent,SEN,0,4 (0),1 (1),2 (1),13 (5),498632
Ascent,FNC,2,2 (2),0 (0),6 (4),12 (7),498632
icebox,SEN,1,3 (1),1 (0),8 (4),10 (4),498632
icebox,FNC,1,4 (2),1 (1),2 (2),15 (8),498632
sunset,SEN,3,9 (3),2 (1),17 (11),36 (14),498632
sunset,FNC,3,10 (4),1 (1),17 (12),36 (18),498632
Lotus,PRX,1,3 (1),1 (0),4 (2),18 (11),498627
Lotus,WOL,1,3 (1),2 (0),3 (2),18 (9),498627
Ascent,PRX,1,3 (1),2 (1),4 (3),12 (8),498627
Ascent,WOL,1,3 (1),2 (0),3 (1),13 (6),498627
lotus,PRX,2,6 (2),3 (1),8 (5),30 (19),498627
lotus,WOL,2,6 (2),4 (0),6 (3),31 (15),498627
Lotus,G2,0,4 (0),1 (0),3 (0),15 (10),498633
Lotus,FNC,2,2 (2),3 (0),7 (5),11 (6),498633
Split,G2,2,2 (2),3 (2),7 (3),11 (3),498633
Split,FNC,0,4 (1),2 (2),1 (1),16 (9),498633
lotus,G2,2,6 (2),4 (2),10 (3),26 (13),498633
lotus,FNC,2,6 (3),5 (2),8 (6),27 (15),498633
Split,WOL,1,3 (1),3 (1),3 (2),13 (5),498634
Split,FNC,1,3 (1),1 (0),3 (2),15 (10),498634
Icebox,WOL,1,4 (1),1 (0),5 (1),7 (2),498634
Icebox,FNC,1,3 (2),0 (0),2 (1),12 (10),498634
Lotus,WOL,0,4 (0),0 (0),2 (0),17 (13),498634
Lotus,FNC,2,3 (2),2 (0),8 (4),10 (4),498634
Ascent,WOL,1,4 (1),4 (1),3 (1),7 (2),498634
Ascent,FNC,1,3 (1),0 (0),4 (4),11 (8),498634
and,WOL,3,15 (3),8 (2),13 (4),44 (22),498634
and,FNC,5,12 (6),3 (0),17 (11),48 (32),498634
Sunset,PRX,0,4 (0),0 (0),3 (0),17 (13),498628
Sunset,FNC,2,2 (2),0 (0),9 (4),13 (5),498628
Icebox,PRX,1,3 (1),2 (0),5 (2),22 (12),498628
Icebox,FNC,1,3 (1),1 (0),3 (1),25 (15),498628
Pearl,PRX,0,4 (0),0 (0),1 (0),18 (13),498628
Pearl,FNC,2,2 (2),1 (0),8 (3),12 (5),498628
Lotus,PRX,1,3 (1),1 (0),7 (4),15 (9),498628
Lotus,FNC,1,2 (1),2 (1),5 (2),17 (8),498628
Ascent,PRX,2,14 (2),3 (0),16 (6),72 (47),498628
Ascent,FNC,6,9 (6),4 (1),25 (10),67 (33),498628
