player,player_name,team,player_id,agents,agents_count,rounds,rating,acs,kd_ratio,kast,adr,kpr,apr,fkpr,fdpr,hs_percent,cl_percent,clutches,k_max,kills,deaths,assists,first_kills,first_deaths
ZmjjKK,ZmjjKK,EDG,3520,"['Kayo', 'Jett', 'Raze']",3,211,,267.8,1.15,,,0.9,0.22,,,,0%,,30,189,164,47,0,0
nobody,nobody,EDG,3017,"['Sova', 'Skye']",2,211,,213.2,1.09,,,0.75,0.25,,,,0%,,27,159,146,53,0,0
CHICHOO,CHICHOO,EDG,15559,"['Brimstone', 'Viper', 'Cypher', 'Killjoy']",4,211,,211.9,1.11,,,0.76,0.23,,,,0%,,24,161,145,49,0,0
kawaii,kawaii,TEC,4778,"['Omen', 'Brimstone', 'Viper', 'Astra']",4,297,,193.7,0.98,,,0.7,0.38,,,,0%,,30,207,211,113,0,0
LockM,LockM,TEC,25339,"['Viper', 'Sova']",2,297,,181.6,0.86,,,0.62,0.27,,,,0%,,25,184,215,80,0,0
Flex1n,Flex1n,TE,4705,"['Omen', 'Viper']",2,336,,205.1,1.03,,,0.71,0.39,,,,0%,,27,240,232,130,0,0
Autumn,Autumn,FPX,872,"['Raze', 'Phoenix', 'Jett', 'Yoru']",4,250,,215.5,1.09,,,0.74,0.18,,,,0%,,25,186,170,45,0,0
YOU,YOU,TE,4710,"['Killjoy', 'Sova', 'Skye', 'Fade']",4,336,,189.5,1.03,,,0.67,0.32,,,,0%,,24,224,218,108,0,0
heybay,heybay,TE,4712,"['Kayo', 'Breach', 'Brimstone', 'Viper']",4,336,,190.1,1.02,,,0.66,0.44,,,,0%,,20,221,217,148,0,0
Kai,Kai,TE,37494,"['Jett', 'Cypher', 'Killjoy']",3,336,,221.7,1.26,,,0.82,0.15,,,,0%,,31,277,220,52,0,0
LuoK1ng,LuoK1ng,TYL,3045,['Omen'],1,81,,208.5,1.02,,,0.75,0.3,,,,0%,,23,61,60,24,0,0
Ninebody,Ninebody,TYL,3547,"['Phoenix', 'Raze']",2,81,,232.3,1.03,,,0.78,0.38,,,,0%,,22,63,61,31,0,0
ICEKING,ICEKING,TYL,4771,"['Cypher', 'Kayo', 'Viper']",3,81,,208.5,0.89,,,0.69,0.31,,,,0%,,23,56,63,25,0,0
AAK,AAK,TYL,4773,"['Jett', 'Cypher']",2,81,,173.0,0.83,,,0.67,0.19,,,,0%,,19,54,65,15,0,0
zjc,zjc,TYL,7135,"['Sova', 'Gekko', 'Skye']",3,81,,152.5,0.62,,,0.51,0.26,,,,0%,,13,41,66,21,0,0
AAAAY,AAAAY,FPX,19530,"['Gekko', 'Sova', 'Fade', 'Breach']",4,250,,216.6,1.16,,,0.8,0.2,,,,0%,,26,201,174,51,0,0
BerLIN,BerLIN,FPX,7857,"['Omen', 'Harbor', 'Astra']",3,250,,185.8,1.0,,,0.66,0.34,,,,0%,,26,165,165,84,0,0
Lysoar,Lysoar,FPX,37489,"['Viper', 'Cypher']",2,250,,169.4,0.92,,,0.59,0.25,,,,0%,,20,147,159,63,0,0
Life,Life,FPX,3028,"['Chamber', 'Yoru', 'Jett', 'Reyna']",4,250,,235.5,1.14,,,0.84,0.17,,,,0%,,28,209,184,43,0,0
Rb,Rb,TEC,488,"['Fade', 'Cypher', 'Killjoy', 'Raze']",4,297,,233.9,1.2,,,0.84,0.24,,,,0%,,29,250,209,70,0,0
PangH,PangH,NOVA,4727,"['Killjoy', 'Jett', 'Raze']",3,124,,156.3,0.69,,,0.54,0.13,,,,0%,,25,67,97,16,0,0
o0o0o,o0o0o,NOVA,4402,"['Raze', 'Breach', 'Viper']",3,124,,186.7,0.87,,,0.69,0.27,,,,0%,,23,86,99,34,0,0
OBONE,OBONE,NOVA,36670,['Omen'],1,124,,162.8,0.75,,,0.56,0.34,,,,0%,,18,70,93,42,0,0
CB,CB,NOVA,39697,"['Breach', 'Fade', 'Sova', 'Skye']",4,124,,173.7,0.73,,,0.56,0.38,,,,0%,,17,69,94,47,0,0
GuanG,GuanG,NOVA,41054,"['Jett', 'Neon', 'Killjoy']",3,124,,243.3,1.03,,,0.82,0.22,,,,0%,,29,102,99,27,0,0
stew,stew,JDG,16924,"['Raze', 'Jett']",2,163,,265.9,1.32,,,0.93,0.18,,,,0%,,35,152,115,30,0,0
Viva,Viva,JDG,36415,"['Viper', 'Sova']",2,163,,214.1,1.21,,,0.75,0.23,,,,0%,,22,122,101,38,0,0
jkuro,jkuro,JDG,3519,"['Fade', 'Skye', 'Viper', 'Cypher']",4,163,,180.6,0.87,,,0.64,0.23,,,,0%,,21,104,120,38,0,0
YiHao,YiHao,JDG,4320,"['Astra', 'Brimstone', 'Harbor', 'Omen']",4,163,,155.9,0.82,,,0.56,0.35,,,,0%,,22,91,111,57,0,0
MarT1n,MarT1n,JDG,36668,"['Killjoy', 'Viper']",2,163,,199.1,0.93,,,0.67,0.13,,,,0%,,22,109,117,22,0,0
QiuYe,QiuYe,TEC,19531,"['Killjoy', 'Skye', 'Harbor', 'Kayo']",4,297,,166.4,0.74,,,0.57,0.3,,,,0%,,23,170,229,90,0,0
Smoggy,Smoggy,EDG,4742,"['Raze', 'Breach', 'Kayo']",3,211,,188.2,0.99,,,0.66,0.46,,,,0%,,20,139,140,97,0,0
