map,Team,Pistol Won,Eco (won),Semi-eco (won),Semi-buy (won),Full buy(won),match_id
Icebox,DFM,1,3 (1),1 (1),4 (2),12 (3),314360
Ascent,DRX,0,4 (0),0 (0),4 (2),11 (4),314360
Ascent,DFM,2,2 (2),0 (0),7 (5),10 (6),314360
All Maps,DRX,2,2 (2),0 (0),3 (3),10 (8),314360
All Maps,DFM,0,3 (0),2 (0),4 (0),6 (2),314360
Ascent,ZETA,1,3 (1),1 (0),3 (3),12 (9),314361
Ascent,TLN,1,3 (1),1 (0),7 (3),8 (2),314361
Lotus,ZETA,1,3 (1),2 (0),6 (2),10 (5),314361
Lotus,TLN,1,3 (1),0 (0),4 (4),14 (8),314361
All Maps,ZETA,1,2 (1),1 (1),5 (5),13 (6),314361
All Maps,TLN,1,5 (1),0 (0),5 (2),11 (5),314361
Sunset,GEN,2,2 (2),2 (0),9 (2),6 (2),314362
Sunset,TS,0,4 (1),1 (0),1 (1),13 (11),314362
Lotus,GEN,2,2 (2),0 (0),6 (3),12 (8),314362
Lotus,TS,0,4 (0),1 (0),4 (2),11 (5),314362
this,GEN,1,3 (1),1 (0),6 (4),16 (7),314362
this,TS,1,3 (1),1 (0),5 (3),17 (10),314362
All Maps,GEN,5,7 (5),3 (0),21 (9),34 (17),314362
All Maps,TS,1,11 (2),3 (0),10 (6),41 (26),314362
Ascent,PRX,0,3 (1),1 (0),5 (1),13 (7),314363
Ascent,ZETA,2,3 (2),2 (0),5 (3),12 (8),314363
Lotus,PRX,1,3 (1),1 (0),4 (2),13 (10),314363
Lotus,ZETA,1,3 (1),3 (0),5 (2),10 (5),314363
All Maps,PRX,1,3 (1),0 (0),2 (2),12 (10),314363
All Maps,ZETA,1,3 (1),1 (1),6 (1),7 (1),314363
Bind,T1,1,3 (1),1 (1),4 (2),16 (9),314364
Bind,BLD,1,3 (1),2 (1),6 (3),13 (6),314364
Lotus,T1,2,2 (2),2 (0),8 (3),10 (4),314364
Lotus,BLD,0,3 (1),2 (1),2 (2),15 (9),314364
All Maps,T1,2,2 (2),1 (0),7 (4),11 (7),314364
All Maps,BLD,0,6 (0),1 (1),3 (2),11 (5),314364
Haven,GEN,1,3 (1),0 (0),2 (1),16 (11),365316
Haven,RRQ,1,3 (1),1 (0),11 (3),6 (4),365316
Bind,GEN,1,3 (2),0 (0),7 (5),14 (6),365316
Bind,RRQ,1,4 (1),2 (0),9 (5),9 (5),365316
All Maps,GEN,2,6 (3),0 (0),9 (6),30 (17),365316
All Maps,RRQ,2,7 (2),3 (0),20 (8),15 (9),365316
Lotus,TS,0,4 (0),0 (0),3 (2),17 (9),365317
Lotus,TLN,2,2 (2),1 (0),9 (5),12 (6),365317
Abyss,TS,0,4 (0),2 (1),5 (3),13 (7),365317
Abyss,TLN,2,2 (2),0 (0),10 (6),12 (5),365317
All Maps,TS,0,8 (0),2 (1),8 (5),30 (16),365317
All Maps,TLN,4,4 (4),1 (0),19 (11),24 (11),365317
Ascent,PRX,0,4 (0),1 (1),6 (1),12 (8),365318
Ascent,GEN,2,2 (2),0 (0),6 (4),15 (7),365318
Icebox,PRX,1,3 (1),1 (0),7 (2),7 (2),365318
Icebox,GEN,1,3 (2),0 (0),3 (3),12 (8),365318
All Maps,PRX,1,7 (1),2 (1),13 (3),19 (10),365318
All Maps,GEN,3,5 (4),0 (0),9 (7),27 (15),365318
Ascent,DRX,1,3 (2),2 (0),2 (2),14 (9),365319
Ascent,TLN,1,3 (1),1 (0),8 (3),9 (4),365319
Abyss,DRX,2,2 (2),0 (0),4 (4),11 (7),365319
Abyss,TLN,0,4 (0),1 (0),5 (4),7 (0),365319
All Maps,DRX,3,5 (4),2 (0),6 (6),25 (16),365319
All Maps,TLN,1,7 (1),2 (0),13 (7),16 (4),365319
Haven,GEN,2,2 (2),1 (0),7 (3),12 (8),365320
Haven,DRX,0,4 (0),2 (0),2 (1),14 (8),365320
Sunset,GEN,0,4 (0),1 (1),5 (1),13 (8),365320
Sunset,DRX,2,2 (2),0 (0),7 (4),14 (7),365320
All Maps,GEN,1,3 (1),0 (0),3 (3),13 (9),365320
All Maps,DRX,1,3 (1),0 (0),6 (1),10 (4),365320
Ascent,PRX,2,2 (2),0 (0),4 (3),10 (8),365322
Ascent,TLN,0,4 (0),2 (0),3 (1),7 (2),365322
Sunset,PRX,2,2 (2),0 (0),4 (4),10 (7),365322
Sunset,TLN,0,4 (0),1 (0),3 (1),8 (2),365322
All Maps,PRX,4,4 (4),0 (0),8 (7),20 (15),365322
All Maps,TLN,0,8 (0),3 (0),6 (2),15 (4),365322
Abyss,DRX,0,4 (0),1 (0),2 (0),13 (7),365323
