player,player_name,team,player_id,agents,agents_count,rounds,rating,acs,kd_ratio,kast,adr,kpr,apr,fkpr,fdpr,hs_percent,cl_percent,clutches,k_max,kills,deaths,assists,first_kills,first_deaths
f0rsakeN,f0rsakeN,PRX,9801,"['Kayo', 'Harbor', 'Yoru', 'Cypher', 'Raze', 'Fade', 'Skye']",7,366,1.04,216.5,1.02,69%,140.4,0.75,0.36,0.12,0.1,30%,20%,5/25,25,273,268,132,44,38
MAGNUM,MAGNUM,KC,2173,"['Killjoy', 'Fade', 'Skye', 'Breach']",4,157,1.04,195.1,1.0,69%,129.3,0.68,0.29,0.1,0.08,23%,7%,1/15,18,106,106,45,15,13
t3xture,t3xture,GEN,9196,"['Jett', 'Raze']",2,328,1.03,224.1,1.07,71%,144.3,0.8,0.16,0.16,0.13,24%,17%,4/23,22,264,246,53,54,41
marteen,marteen,KC,10307,"['Jett', 'Raze', 'Yoru']",3,157,1.03,214.6,1.02,73%,138.4,0.75,0.2,0.16,0.18,24%,13%,1/8,29,118,116,32,25,29
Autumn,Autumn,FPX,872,"['Jett', 'Raze', 'Phoenix', 'Yoru']",4,86,1.03,231.8,0.96,69%,154.5,0.79,0.19,0.22,0.08,28%,33%,2/6,25,68,71,16,19,7
Smoggy,Smoggy,EDG,4742,"['Kayo', 'Raze', 'Breach']",3,154,1.02,194.4,0.99,73%,127.9,0.71,0.36,0.09,0.06,29%,11%,4/35,19,110,111,56,14,9
saadhak,saadhak,LOUD,727,"['Killjoy', 'Kayo', 'Sova', 'Skye']",4,250,1.01,191.3,0.99,73%,128.1,0.65,0.38,0.09,0.13,17%,17%,4/23,21,162,163,94,22,33
Life,Life,FPX,3028,"['Reyna', 'Chamber', 'Jett']",3,86,1.0,230.8,1.04,64%,157.6,0.83,0.12,0.15,0.15,39%,33%,3/9,25,71,68,10,13,13
d4v41,d4v41,PRX,9803,"['Sage', 'Fade', 'Viper', 'Skye', 'Omen']",5,366,0.98,182.3,0.9,70%,121.5,0.64,0.39,0.04,0.05,28%,13%,8/62,25,234,259,143,16,17
Zellsis,Zellsis,SEN,729,"['Killjoy', 'Kayo', 'Brimstone', 'Viper']",4,421,0.98,188.4,0.93,72%,121.9,0.62,0.41,0.06,0.08,19%,14%,6/43,21,263,282,172,26,34
sh1n,sh1n,KC,2625,"['Sage', 'Omen', 'Astra']",3,157,0.96,178.0,0.98,81%,109.9,0.64,0.36,0.06,0.06,30%,11%,3/28,21,101,103,56,9,10
Quick,Quick,LOUD,1575,"['Jett', 'Yoru', 'Phoenix', 'Raze']",4,250,0.94,218.5,1.03,67%,140.6,0.77,0.16,0.16,0.15,31%,19%,3/16,27,193,187,39,41,38
Sacy,Sacy,SEN,659,"['Fade', 'Gekko', 'Skye', 'Sova']",4,421,0.93,173.8,0.86,73%,113.6,0.59,0.4,0.06,0.09,24%,10%,5/49,23,249,289,169,25,38
CHICHOO,CHICHOO,EDG,15559,"['Cypher', 'Brimstone', 'Viper', 'Killjoy']",4,154,0.89,169.0,0.81,66%,119.6,0.6,0.23,0.07,0.07,29%,0%,0/23,23,93,115,36,11,11
nobody,nobody,EDG,3017,"['Sova', 'Skye']",2,154,0.88,173.1,0.82,66%,124.1,0.6,0.26,0.07,0.16,33%,11%,2/18,20,92,112,40,11,25
Monyet,Monyet,PRX,8497,"['Omen', 'Raze', 'Astra']",3,366,0.87,199.6,0.87,66%,129.9,0.68,0.3,0.12,0.17,24%,19%,7/36,24,250,289,110,45,64
Boo,Boo,TH,1144,"['Omen', 'Astra']",2,130,0.87,162.3,0.87,68%,104.4,0.61,0.36,0.04,0.12,32%,12%,2/17,15,79,91,47,5,16
mindfreak,mindfreak,PRX,9800,"['Viper', 'Brimstone', 'Omen']",3,366,0.84,162.8,0.84,66%,108.4,0.59,0.23,0.03,0.1,37%,4%,2/49,21,217,258,83,12,35
Haodong,Haodong,EDG,4720,"['Omen', 'Cypher', 'Viper']",3,154,0.8,152.3,0.72,69%,110.2,0.54,0.27,0.06,0.1,27%,36%,4/11,19,83,115,41,10,16
Lakia,Lakia,GEN,773,"['Gekko', 'Sova', 'Skye', 'Fade']",4,328,0.8,153.1,0.78,68%,104.1,0.54,0.27,0.06,0.09,24%,32%,9/28,19,177,228,87,21,31
Lysoar,Lysoar,FPX,37489,['Viper'],1,86,0.79,152.8,0.72,57%,110.8,0.51,0.2,0.06,0.05,30%,0%,0/17,15,44,61,17,5,4
paTiTek,paTiTek,TH,309,"['Viper', 'Kayo']",2,130,0.76,149.8,0.65,71%,100.1,0.47,0.48,0.09,0.08,16%,0%,0/7,14,61,94,63,12,10
tomaszy,tomaszy,KC,19691,"['Viper', 'Omen', 'Fade']",3,157,0.75,138.7,0.66,63%,98.5,0.46,0.29,0.04,0.09,32%,27%,4/15,15,73,110,46,7,14
BerLIN,BerLIN,FPX,7857,"['Omen', 'Harbor', 'Astra']",3,86,0.72,150.0,0.7,65%,99.0,0.53,0.31,0.13,0.13,36%,8%,1/12,14,46,66,27,11,11
AAAAY,AAAAY,FPX,19530,"['Gekko', 'Sova']",2,86,0.71,161.0,0.69,66%,112.1,0.56,0.27,0.01,0.02,31%,7%,1/14,15,48,70,23,1,2
