player,player_name,team,player_id,agents,agents_count,rounds,rating,acs,kd_ratio,kast,adr,kpr,apr,fkpr,fdpr,hs_percent,cl_percent,clutches,k_max,kills,deaths,assists,first_kills,first_deaths
Cloud,Cloud,GX,4181,"['Sova', 'Skye', 'Fade', 'Gekko']",4,281,1.01,192.0,1.0,71%,127.9,0.7,0.26,0.08,0.06,24%,10%,3/29,26,196,196,73,22,16
RieNs,RieNs,TH,10971,"['Gekko', 'Sova', 'Skye', 'Breach']",4,511,1.01,191.1,0.94,75%,130.1,0.66,0.39,0.06,0.07,36%,20%,12/59,25,337,360,201,31,38
Derke,Derke,FNC,5022,"['Jett', 'Raze', 'Yoru']",3,646,1.0,224.5,1.07,70%,149.9,0.78,0.19,0.17,0.18,26%,21%,10/47,29,507,472,122,107,118
QutionerX,QutionerX,BBL,10161,"['Jett', 'Neon', 'Yoru', 'Omen', 'Raze']",5,268,1.0,229.2,1.01,73%,158.3,0.79,0.19,0.19,0.15,23%,6%,1/17,31,213,211,51,52,40
Zyppan,Zyppan,NAVI,11,"['Raze', 'Kayo', 'Neon', 'Sova']",4,329,1.0,217.3,1.01,74%,147.1,0.74,0.27,0.16,0.14,28%,25%,3/12,24,244,241,89,52,46
Brave,Brave,BBL,8041,"['Omen', 'Viper', 'Brimstone']",3,268,0.99,204.6,0.98,71%,133.1,0.7,0.37,0.09,0.07,31%,20%,6/30,24,187,190,98,24,20
starxo,starxo,MKOI,565,"['Fade', 'Kayo', 'Omen', 'Harbor', 'Yoru']",5,239,0.98,190.3,0.93,75%,123.4,0.65,0.48,0.1,0.11,23%,19%,5/26,25,156,168,115,23,26
Fit1nho,Fit1nho,GX,292,"['Yoru', 'Breach', 'Raze', 'Killjoy', 'Kayo']",5,281,0.96,191.4,0.9,70%,128.3,0.64,0.27,0.1,0.1,32%,7%,2/27,21,179,198,77,28,29
hoody,hoody,GX,2690,"['Viper', 'Cypher']",2,281,0.94,179.2,0.91,68%,124.7,0.64,0.25,0.1,0.07,27%,12%,5/43,30,180,198,71,29,21
Enzo,Enzo,TL,114,"['Skye', 'Sova', 'Gekko', 'Cypher', 'Killjoy']",5,355,0.94,173.5,0.89,71%,119.1,0.56,0.34,0.06,0.09,18%,8%,3/40,20,200,225,120,21,31
MAGNUM,MAGNUM,KC,2173,"['Sova', 'Kayo', 'Skye', 'Killjoy', 'Fade', 'Cypher']",6,420,0.92,179.8,0.85,72%,117.4,0.6,0.37,0.1,0.12,24%,28%,10/36,18,251,294,155,40,49
Mistic,Mistic,TL,1457,"['Omen', 'Harbor', 'Sage']",3,355,0.92,173.4,0.91,73%,118.0,0.62,0.33,0.07,0.07,32%,5%,2/43,23,219,240,116,24,25
ceNder,ceNder,VIT,4321,"['Brimstone', 'Omen', 'Viper', 'Killjoy']",4,331,0.91,176.0,0.85,68%,122.7,0.61,0.33,0.07,0.08,24%,11%,4/36,23,203,238,109,22,28
Jamppi,Jamppi,TL,9780,"['Viper', 'Killjoy', 'Breach', 'Skye', 'Sova', 'Kayo', 'Chamber']",7,355,0.91,193.0,0.91,74%,124.5,0.66,0.32,0.09,0.12,29%,11%,4/35,22,236,258,115,31,41
Boo,Boo,TH,1144,"['Sage', 'Omen', 'Viper']",3,511,0.91,158.1,0.84,72%,104.0,0.55,0.42,0.08,0.08,36%,10%,7/68,23,280,332,216,42,43
kamo,kamo,MKOI,14681,"['Raze', 'Jett', 'Yoru', 'Omen', 'Neon']",5,239,0.91,211.9,0.91,66%,136.9,0.72,0.14,0.19,0.18,30%,22%,2/9,25,173,191,34,45,42
pAura,pAura,BBL,569,"['Kayo', 'Sova', 'Sage', 'Breach']",4,268,0.89,176.8,0.85,65%,111.4,0.6,0.37,0.12,0.13,30%,12%,3/25,19,161,190,100,32,36
sh1n,sh1n,KC,2625,"['Viper', 'Omen', 'Sage']",3,420,0.89,156.9,0.84,74%,100.1,0.55,0.41,0.06,0.08,28%,9%,5/57,22,233,278,174,24,33
ANGE1,ANGE1,NAVI,109,"['Gekko', 'Fade', 'Sova', 'Yoru', 'Cypher']",5,329,0.89,185.1,0.88,68%,124.4,0.64,0.29,0.1,0.1,34%,10%,3/30,25,212,241,95,32,34
paTiTek,paTiTek,TH,309,"['Viper', 'Kayo', 'Brimstone']",3,160,0.89,182.6,0.84,70%,125.4,0.6,0.43,0.06,0.11,23%,12%,2/17,17,96,114,68,9,18
Kicks,Kicks,VIT,11134,"['Deadlock', 'Killjoy', 'Sova', 'Gekko', 'Kayo', 'Skye']",6,331,0.88,165.3,0.86,75%,109.8,0.61,0.34,0.04,0.05,21%,18%,10/57,24,202,234,113,13,15
runneR,runneR,VIT,21610,"['Raze', 'Yoru', 'Jett', 'Neon']",4,331,0.88,211.8,0.91,66%,139.2,0.71,0.24,0.17,0.21,17%,14%,3/21,23,235,257,78,56,70
AtaKaptan,AtaKaptan,FUT,6510,"['Omen', 'Viper']",2,440,0.86,176.7,0.83,70%,112.9,0.59,0.39,0.09,0.13,23%,16%,7/44,20,259,312,173,39,56
reazy,reazy,BBL,10146,"['Sova', 'Viper', 'Skye', 'Gekko']",4,268,0.86,156.5,0.78,68%,108.5,0.53,0.37,0.04,0.07,29%,24%,8/34,15,141,180,98,10,19
beyAz,beyAz,M8,220,"['Sova', 'Kayo', 'Skye', 'Breach']",4,186,0.85,178.9,0.79,70%,119.6,0.62,0.37,0.06,0.08,22%,3%,1/29,25,116,146,69,11,15
Boaster,Boaster,FNC,438,"['Harbor', 'Omen', 'Brimstone', 'Viper', 'Sova']",5,646,0.85,151.3,0.78,73%,98.8,0.51,0.39,0.06,0.1,20%,14%,8/57,21,327,418,255,39,65
Redgar,Redgar,GX,1427,"['Cypher', 'Omen', 'Kayo']",3,281,0.81,150.5,0.77,68%,97.6,0.54,0.34,0.06,0.09,37%,21%,7/33,18,151,196,95,18,26
TakaS,TakaS,M8,301,"['Yoru', 'Neon', 'Jett', 'Raze', 'Gekko']",5,186,0.81,190.9,0.81,63%,130.1,0.65,0.26,0.16,0.15,19%,0%,0/12,24,120,149,49,29,27
ShadoW,ShadoW,MKOI,451,"['Breach', 'Sova', 'Gekko', 'Fade']",4,239,0.8,161.1,0.79,66%,104.7,0.55,0.28,0.04,0.09,21%,0%,0/21,18,132,168,67,10,22
Wailers,Wailers,M8,19522,"['Omen', 'Cypher', 'Viper']",3,186,0.74,125.4,0.64,59%,85.8,0.46,0.23,0.06,0.06,26%,12%,3/26,15,86,134,42,11,12
