map,Team,Pistol Won,Eco (won),Semi-eco (won),Semi-buy (won),Full buy(won),match_id
All Maps,FUR,3,5 (3),3 (0),14 (5),19 (7),509827
All Maps,EG,1,7 (2),2 (0),2 (1),30 (23),509827
Sunset,2G,2,2 (2),2 (0),5 (4),13 (7),509829
Sunset,SEN,0,4 (0),1 (0),1 (0),16 (9),509829
Lotus,2G,0,3 (0),2 (0),5 (3),7 (1),509829
Lotus,SEN,2,2 (2),1 (0),3 (3),11 (8),509829
All Maps,2G,0,4 (0),0 (0),7 (1),6 (3),509829
All Maps,SEN,2,2 (2),0 (0),3 (2),12 (9),509829
Ascent,G2,2,2 (2),2 (0),5 (4),12 (7),509830
Ascent,C9,0,4 (0),2 (1),1 (0),14 (7),509830
Lotus,G2,2,3 (3),0 (0),7 (3),12 (7),509830
Lotus,C9,0,4 (1),1 (0),4 (2),13 (6),509830
Bind,G2,4,5 (5),2 (0),12 (7),24 (14),509830
Bind,C9,0,8 (1),3 (1),5 (2),27 (13),509830
Icebox,MIBR,0,4 (0),1 (0),4 (3),15 (10),509831
Icebox,LOUD,2,2 (2),2 (0),5 (2),15 (7),509831
Sunset,MIBR,0,4 (1),1 (1),3 (3),15 (8),509831
Sunset,LOUD,2,2 (2),4 (2),6 (2),11 (4),509831
All Maps,MIBR,0,8 (1),2 (1),7 (6),30 (18),509831
All Maps,LOUD,4,4 (4),6 (2),11 (4),26 (11),509831
Corrode,LEV,1,3 (1),1 (0),4 (1),15 (8),530902
Corrode,C9,1,3 (1),1 (0),4 (2),15 (10),530902
Haven,LEV,1,3 (1),2 (1),3 (2),15 (9),530902
Haven,C9,1,3 (1),1 (0),6 (1),13 (8),530902
All Maps,LEV,1,3 (1),2 (0),6 (3),13 (7),530902
All Maps,C9,1,2 (1),3 (0),8 (4),11 (8),530902
Sunset,G2,2,4 (2),0 (0),2 (0),11 (11),530903
Sunset,100T,0,3 (1),0 (0),6 (2),8 (1),530903
Haven,G2,1,3 (2),1 (1),2 (1),12 (9),530903
Haven,100T,1,3 (1),3 (0),5 (2),7 (2),530903
Corrode,G2,3,7 (4),1 (1),4 (1),23 (20),530903
Corrode,100T,1,6 (2),3 (0),11 (4),15 (3),530903
Corrode,SEN,1,3 (1),1 (0),4 (3),15 (9),530906
