map,Team,Pistol Won,Eco (won),Semi-eco (won),Semi-buy (won),Full buy(won),match_id
Breeze,TS,0,4 (0),1 (0),5 (5),14 (8),296733
All Maps,DFM,2,5 (2),3 (0),14 (6),22 (10),296733
All Maps,TS,2,6 (2),2 (0),10 (9),26 (15),296733
Split,DRX,1,3 (1),0 (0),5 (4),15 (8),296732
Split,TLN,1,3 (1),2 (1),6 (4),12 (4),296732
Ascent,DRX,1,3 (1),0 (0),5 (2),13 (10),296732
Ascent,TLN,1,4 (1),0 (0),3 (1),14 (6),296732
All Maps,DRX,2,6 (2),0 (0),10 (6),28 (18),296732
All Maps,TLN,2,7 (2),2 (1),9 (5),26 (10),296732
Lotus,GEN,2,2 (2),0 (0),8 (5),10 (6),296749
Lotus,RRQ,0,4 (0),1 (0),3 (0),12 (7),296749
Breeze,GEN,0,4 (0),1 (0),7 (4),11 (6),296749
Breeze,RRQ,2,2 (2),1 (0),9 (5),11 (6),296749
All Maps,GEN,2,3 (2),1 (0),6 (4),14 (7),296749
All Maps,RRQ,0,4 (1),1 (1),7 (3),12 (6),296749
Breeze,TLN,1,5 (2),1 (1),6 (1),9 (4),296734
Breeze,TS,1,3 (1),1 (1),4 (3),13 (8),296734
Ascent,TLN,1,3 (1),2 (0),5 (1),10 (5),296734
Ascent,TS,1,3 (1),1 (0),4 (3),12 (9),296734
All Maps,TLN,2,8 (3),3 (1),11 (2),19 (9),296734
All Maps,TS,2,6 (2),2 (1),8 (6),25 (17),296734
Bind,ZETA,1,3 (1),1 (1),3 (3),14 (8),296739
Bind,GE,1,3 (1),1 (0),10 (5),7 (2),296739
Lotus,ZETA,2,2 (2),0 (0),3 (3),11 (8),296739
Lotus,GE,0,3 (0),2 (0),3 (0),8 (3),296739
All Maps,ZETA,3,5 (3),1 (1),6 (6),25 (16),296739
All Maps,GE,1,6 (1),3 (0),13 (5),15 (5),296739
Breeze,TS,1,3 (2),0 (0),2 (2),13 (9),297254
Breeze,GEN,1,4 (1),3 (1),6 (2),5 (1),297254
Lotus,TS,1,3 (1),1 (0),5 (3),13 (5),297254
Lotus,GEN,1,3 (1),2 (1),5 (5),12 (6),297254
All Maps,TS,1,3 (1),2 (1),6 (3),17 (8),297254
All Maps,GEN,1,2 (1),2 (1),9 (2),15 (11),297254
Icebox,ZETA,0,3 (0),2 (0),4 (0),5 (1),297253
Icebox,TS,2,2 (2),0 (0),3 (3),9 (8),297253
Ascent,ZETA,1,3 (1),2 (0),4 (1),12 (6),297253
Ascent,TS,1,3 (1),1 (0),5 (3),12 (9),297253
All Maps,ZETA,1,6 (1),4 (0),8 (1),17 (7),297253
All Maps,TS,3,5 (3),1 (0),8 (6),21 (17),297253
Icebox,GEN,1,3 (1),0 (0),1 (1),15 (11),297255
Icebox,ZETA,1,3 (1),1 (0),7 (2),8 (3),297255
Ascent,GEN,1,3 (1),1 (1),2 (2),11 (9),297255
Ascent,ZETA,1,3 (1),0 (0),7 (2),7 (1),297255
All Maps,GEN,2,6 (2),1 (1),3 (3),26 (20),297255
All Maps,ZETA,2,6 (2),1 (0),14 (4),15 (4),297255
Split,T1,1,3 (1),1 (0),4 (3),22 (10),297256
Split,PRX,1,3 (1),1 (0),6 (3),20 (12),297256
Ascent,T1,2,4 (2),1 (0),7 (2),7 (2),297256
Ascent,PRX,0,3 (1),0 (0),4 (4),12 (8),297256
All Maps,T1,3,7 (3),2 (0),11 (5),29 (12),297256
All Maps,PRX,1,6 (2),1 (0),10 (7),32 (20),297256
Bind,DRX,2,4 (3),2 (0),5 (2),15 (7),297257
Bind,GEN,0,4 (1),3 (2),3 (2),16 (9),297257
Lotus,DRX,1,4 (1),1 (0),4 (2),12 (5),297257
Lotus,GEN,1,3 (1),0 (0),6 (4),12 (8),297257
All Maps,DRX,3,8 (4),3 (0),9 (4),27 (12),297257
All Maps,GEN,1,7 (2),3 (2),9 (6),28 (17),297257
