map,Team,Pistol Won,Eco (won),Semi-eco (won),Semi-buy (won),Full buy(won),match_id
Icebox,EDG,1,3 (1),0 (0),7 (3),20 (10),378828
Icebox,LEV,1,3 (1),1 (0),7 (4),19 (11),378828
Lotus,EDG,2,2 (2),0 (0),4 (3),11 (8),378828
Lotus,LEV,0,4 (0),1 (0),6 (1),6 (3),378828
All Maps,EDG,0,4 (0),2 (1),3 (1),15 (11),378828
All Maps,LEV,2,2 (2),1 (0),11 (6),10 (3),378828
Haven,TH,0,4 (0),2 (0),2 (1),13 (7),378835
Haven,SEN,2,2 (2),0 (0),9 (6),10 (5),378835
Icebox,TH,2,2 (2),1 (0),5 (3),14 (8),378835
Icebox,SEN,0,4 (0),1 (1),4 (2),13 (6),378835
All Maps,TH,1,3 (1),0 (0),2 (2),15 (10),378835
All Maps,SEN,1,3 (1),1 (1),11 (3),5 (2),378835
Icebox,LEV,1,3 (1),0 (0),9 (5),8 (1),378836
Icebox,TH,1,3 (1),1 (1),3 (2),13 (9),378836
Sunset,LEV,1,4 (1),1 (1),7 (4),16 (7),378836
Sunset,TH,1,3 (1),1 (0),6 (3),18 (11),378836
Abyss,LEV,2,2 (2),0 (0),10 (5),10 (6),378836
Abyss,TH,0,4 (0),3 (1),3 (0),12 (8),378836
Lotus,LEV,1,3 (1),1 (0),6 (1),6 (1),378836
Lotus,TH,1,3 (1),0 (0),1 (1),12 (11),378836
first,LEV,5,12 (5),2 (1),32 (15),40 (15),378836
first,TH,3,13 (3),5 (2),13 (6),55 (39),378836
Haven,EDG,1,3 (1),0 (0),4 (1),12 (4),378829
Haven,TH,1,3 (1),1 (0),2 (1),13 (11),378829
Sunset,EDG,2,2 (2),2 (1),3 (2),10 (8),378829
Sunset,TH,0,3 (0),2 (0),5 (3),7 (1),378829
Lotus,EDG,1,4 (2),0 (0),4 (2),14 (9),378829
Lotus,TH,1,3 (2),2 (0),7 (4),10 (3),378829
Bind,EDG,0,4 (0),1 (0),5 (4),14 (7),378829
Bind,TH,2,2 (2),1 (1),7 (4),14 (6),378829
All Maps,EDG,2,2 (2),0 (0),8 (5),12 (6),378829
All Maps,TH,0,4 (0),3 (1),5 (3),10 (5),378829
