agent_name,total_utilization,map_utilizations
Clove,4.0,"{'Lotus': 6.0, 'Icebox': 6.0, 'Ascent': 0.0, 'Bind': 0.0, 'Sunset': 5.0, 'Haven': 6.0, 'Split': 0.0, 'Abyss': 0.0}"
Yoru,3.0,"{'Lotus': 0.0, 'Icebox': 0.0, 'Ascent': 4.0, 'Bind': 0.0, 'Sunset': 0.0, 'Haven': 11.0, 'Split': 8.0, 'Abyss': 17.0}"
Reyna,2.0,"{'Lotus': 0.0, 'Icebox': 13.0, 'Ascent': 0.0, 'Bind': 0.0, 'Sunset': 0.0, 'Haven': 0.0, 'Split': 0.0, 'Abyss': 0.0}"
Iso,2.0,"{'Lotus': 3.0, 'Icebox': 3.0, 'Ascent': 4.0, 'Bind': 0.0, 'Sunset': 0.0, 'Haven': 6.0, 'Split': 0.0, 'Abyss': 0.0}"
Astra,1.0,"{'Lotus': 0.0, 'Icebox': 0.0, 'Ascent': 0.0, 'Bind': 0.0, 'Sunset': 0.0, 'Haven': 0.0, 'Split': 8.0, 'Abyss': 17.0}"
Phoenix,0.0,"{'Lotus': 0.0, 'Icebox': 0.0, 'Ascent': 0.0, 'Bind': 0.0, 'Sunset': 0.0, 'Haven': 0.0, 'Split': 0.0, 'Abyss': 0.0}"
Tejo,0.0,"{'Lotus': 0.0, 'Icebox': 0.0, 'Ascent': 0.0, 'Bind': 0.0, 'Sunset': 0.0, 'Haven': 0.0, 'Split': 0.0, 'Abyss': 0.0}"
Chamber,0.0,"{'Lotus': 0.0, 'Icebox': 0.0, 'Ascent': 0.0, 'Bind': 0.0, 'Sunset': 0.0, 'Haven': 0.0, 'Split': 0.0, 'Abyss': 0.0}"
Vyse,0.0,"{'Lotus': 0.0, 'Icebox': 0.0, 'Ascent': 0.0, 'Bind': 0.0, 'Sunset': 0.0, 'Haven': 0.0, 'Split': 0.0, 'Abyss': 0.0}"
Waylay,0.0,"{'Lotus': 0.0, 'Icebox': 0.0, 'Ascent': 0.0, 'Bind': 0.0, 'Sunset': 0.0, 'Haven': 0.0, 'Split': 0.0, 'Abyss': 0.0}"
