player,player_name,team,player_id,agents,agents_count,rounds,rating,acs,kd_ratio,kast,adr,kpr,apr,fkpr,fdpr,hs_percent,cl_percent,clutches,k_max,kills,deaths,assists,first_kills,first_deaths
keznit,keznit,KRÜ,2462,"['Raze', 'Jett', 'Neon', 'Reyna']",4,492,1.03,233.0,1.05,70%,155.2,0.79,0.21,0.19,0.17,23%,13%,4/32,29,390,370,105,92,82
bang,bang,100T,3880,"['Viper', 'Omen']",2,411,1.02,202.2,1.04,73%,127.4,0.7,0.36,0.1,0.12,33%,13%,7/54,31,289,278,147,40,50
Less,Less,LOUD,8447,"['Cypher', 'Killjoy', 'Omen']",3,299,1.02,191.1,1.03,65%,130.0,0.71,0.21,0.09,0.07,30%,5%,2/44,21,211,205,64,28,22
trent,trent,G2,15500,"['Sova', 'Fade', 'Gekko']",3,388,1.01,186.1,0.95,74%,126.0,0.64,0.39,0.07,0.09,23%,17%,10/60,22,250,262,152,29,35
heat,heat,KRÜ,8673,"['Fade', 'Skye', 'Kayo', 'Breach', 'Gekko']",5,492,1.01,185.7,0.97,73%,122.4,0.69,0.37,0.07,0.1,30%,12%,8/68,26,341,350,182,36,50
Asuna,Asuna,100T,601,"['Gekko', 'Kayo', 'Raze', 'Yoru']",4,411,1.01,205.6,0.96,76%,132.5,0.7,0.43,0.13,0.12,19%,15%,4/26,23,286,297,176,54,50
Melser,Melser,KRÜ,1311,"['Omen', 'Viper']",2,492,1.0,185.3,0.97,74%,121.5,0.66,0.35,0.08,0.1,33%,18%,14/77,23,323,334,174,40,50
mwzera,mwzera,FUR,939,"['Jett', 'Neon', 'Raze']",3,241,0.98,236.4,0.99,74%,152.8,0.82,0.23,0.18,0.15,18%,7%,1/15,29,197,198,56,44,36
OXY,OXY,C9,18796,"['Jett', 'Reyna', 'Raze']",3,277,0.97,232.7,0.99,69%,152.1,0.82,0.16,0.18,0.19,27%,17%,2/12,33,226,228,45,50,53
havoc,havoc,FUR,8706,"['Killjoy', 'Viper', 'Cypher']",3,241,0.96,198.3,0.96,65%,138.8,0.7,0.19,0.12,0.14,36%,16%,5/32,23,168,175,45,28,33
Sacy,Sacy,SEN,659,"['Fade', 'Gekko', 'Skye', 'Sova']",4,217,0.96,170.4,0.93,74%,119.9,0.59,0.34,0.06,0.12,29%,5%,1/21,19,127,136,74,12,27
johnqt,johnqt,SEN,1265,"['Deadlock', 'Cypher', 'Killjoy']",3,217,0.95,172.4,0.96,71%,113.5,0.62,0.2,0.05,0.06,29%,11%,3/27,19,134,140,44,11,14
