map,Team,Pistol Won,Eco (won),Semi-eco (won),Semi-buy (won),Full buy(won),match_id
but,100T,1,3 (1),2 (1),3 (1),12 (10),353196
All Maps,EG,3,11 (4),5 (1),15 (5),35 (20),353196
All Maps,100T,3,10 (3),3 (1),12 (8),41 (24),353196
Icebox,C9,0,5 (0),0 (0),8 (5),7 (2),353197
Icebox,KRÜ,2,2 (2),1 (1),3 (2),14 (8),353197
Split,C9,2,2 (2),0 (0),9 (5),12 (3),353197
Split,KRÜ,0,4 (0),0 (0),2 (2),17 (11),353197
All Maps,C9,2,7 (2),0 (0),17 (10),19 (5),353197
All Maps,KRÜ,2,6 (2),1 (1),5 (4),31 (19),353197
Bind,EG,2,2 (2),0 (0),8 (5),12 (2),353198
Bind,MIBR,0,4 (0),0 (0),3 (3),15 (10),353198
Lotus,EG,0,3 (0),4 (0),3 (0),5 (2),353198
Lotus,MIBR,2,2 (2),0 (0),3 (3),10 (8),353198
All Maps,EG,2,5 (2),4 (0),11 (5),17 (4),353198
All Maps,MIBR,2,6 (2),0 (0),6 (6),25 (18),353198
Sunset,LEV,1,3 (1),0 (0),3 (3),13 (9),353199
Sunset,FUR,1,3 (1),4 (2),5 (2),7 (1),353199
Icebox,LEV,2,2 (2),2 (1),4 (3),11 (7),353199
Icebox,FUR,0,4 (0),2 (0),3 (2),10 (4),353199
All Maps,LEV,3,5 (3),2 (1),7 (6),24 (16),353199
All Maps,FUR,1,7 (1),6 (2),8 (4),17 (5),353199
Ascent,LOUD,0,3 (0),4 (0),3 (1),4 (0),353200
Ascent,100T,2,2 (2),0 (0),2 (2),10 (9),353200
Bind,LOUD,1,4 (1),0 (0),3 (1),14 (11),353200
Bind,100T,1,3 (1),2 (0),5 (3),11 (4),353200
All Maps,LOUD,0,4 (0),1 (0),2 (1),16 (12),353200
All Maps,100T,2,2 (2),0 (0),10 (5),11 (3),353200
Bind,SEN,0,4 (0),2 (1),4 (1),9 (4),353201
Bind,G2,2,2 (2),0 (0),5 (4),12 (7),353201
Lotus,SEN,1,3 (1),1 (1),5 (2),13 (5),353201
Lotus,G2,1,3 (2),2 (1),4 (1),13 (9),353201
All Maps,SEN,1,7 (1),3 (2),9 (3),22 (9),353201
All Maps,G2,3,5 (4),2 (1),9 (5),25 (16),353201
Abyss,KRÜ,1,3 (2),0 (0),4 (3),17 (8),371266
Abyss,C9,1,4 (1),3 (1),4 (1),13 (8),371266
Lotus,KRÜ,1,3 (1),0 (0),8 (3),13 (7),371266
Lotus,C9,1,3 (1),0 (0),9 (2),12 (10),371266
All Maps,KRÜ,1,3 (1),0 (0),3 (1),13 (11),371266
All Maps,C9,1,3 (1),0 (0),10 (2),6 (3),371266
Haven,SEN,1,3 (1),1 (1),8 (2),8 (3),371267
Haven,100T,1,3 (1),1 (0),3 (2),13 (10),371267
Ascent,SEN,0,4 (0),1 (1),7 (3),11 (6),371267
Ascent,100T,2,2 (2),1 (0),8 (5),12 (6),371267
All Maps,SEN,1,7 (1),2 (2),15 (5),19 (9),371267
All Maps,100T,3,5 (3),2 (0),11 (7),25 (16),371267
Icebox,LEV,2,2 (2),0 (0),3 (3),10 (8),371268
Icebox,KRÜ,0,3 (0),1 (0),5 (0),6 (2),371268
Sunset,LEV,1,3 (1),0 (0),2 (2),12 (10),371268
Sunset,KRÜ,1,3 (1),1 (1),8 (1),5 (1),371268
All Maps,LEV,3,5 (3),0 (0),5 (5),22 (18),371268
All Maps,KRÜ,1,6 (1),2 (1),13 (1),11 (3),371268
Lotus,G2,1,3 (1),0 (0),3 (3),12 (9),371269
Lotus,100T,1,3 (1),3 (0),6 (2),6 (2),371269
Abyss,G2,2,2 (2),1 (0),7 (4),13 (7),371269
Abyss,100T,0,4 (0),0 (0),8 (4),11 (6),371269
All Maps,G2,3,5 (3),1 (0),10 (7),25 (16),371269
All Maps,100T,1,7 (1),3 (0),14 (6),17 (8),371269
Icebox,LEV,0,3 (0),3 (1),5 (3),10 (4),371270
Icebox,G2,2,3 (2),3 (2),6 (1),9 (8),371270
Bind,LEV,1,3 (1),1 (1),7 (3),8 (1),371270
Bind,G2,1,3 (1),1 (1),4 (3),11 (8),371270
All Maps,LEV,1,6 (1),4 (2),12 (6),18 (5),371270
All Maps,G2,3,6 (3),4 (3),10 (4),20 (16),371270
Icebox,KRÜ,1,3 (1),2 (0),6 (5),11 (3),371272
Icebox,100T,1,3 (1),1 (0),3 (2),15 (10),371272
Lotus,KRÜ,2,2 (2),3 (1),5 (4),14 (6),371272
Lotus,100T,0,4 (0),1 (1),6 (5),13 (5),371272
All Maps,KRÜ,1,3 (1),1 (0),5 (2),15 (10),371272
All Maps,100T,1,3 (1),1 (0),4 (1),16 (9),371272
Icebox,LEV,0,4 (1),0 (0),0 (0),12 (12),371273
Icebox,KRÜ,2,2 (2),1 (0),8 (0),5 (1),371273
Haven,LEV,0,5 (0),0 (0),4 (1),15 (10),371273
Haven,KRÜ,2,2 (2),1 (0),8 (5),13 (6),371273
Sunset,LEV,1,3 (1),3 (0),4 (2),10 (4),371273
Sunset,KRÜ,1,3 (1),0 (0),3 (3),14 (9),371273
Abyss,LEV,2,2 (2),1 (0),8 (7),12 (4),371273
Abyss,KRÜ,0,4 (0),0 (0),6 (4),13 (6),371273
All Maps,LEV,1,3 (1),2 (1),6 (3),12 (8),371273
All Maps,KRÜ,1,3 (1),2 (1),5 (3),13 (5),371273
Lotus,G2,2,2 (2),5 (1),7 (5),14 (5),371271
Lotus,LEV,0,4 (0),1 (1),4 (3),19 (11),371271
Haven,G2,2,2 (2),3 (2),10 (4),15 (6),371271
Haven,LEV,0,4 (1),1 (1),1 (0),24 (14),371271
Bind,G2,1,3 (1),1 (0),5 (4),13 (8),371271
Bind,LEV,1,3 (1),1 (0),5 (3),13 (5),371271
Ascent,G2,1,3 (1),3 (0),3 (1),8 (2),371271
Ascent,LEV,1,3 (1),0 (0),2 (2),12 (10),371271
All Maps,G2,6,10 (6),12 (3),25 (14),50 (21),371271
All Maps,LEV,2,14 (3),3 (2),12 (8),68 (40),371271
