player,player_name,team,player_id,agents,agents_count,rounds,rating,acs,kd_ratio,kast,adr,kpr,apr,fkpr,fdpr,hs_percent,cl_percent,clutches,k_max,kills,deaths,assists,first_kills,first_deaths
SUYGETSU,SUYGETSU,KC,2858,"['Astra', 'Omen']",2,199,1.08,194.2,1.1,75%,122.7,0.69,0.42,0.08,0.1,42%,13%,4/30,19,137,125,84,16,19
Shao,Shao,NAVI,384,"['Sova', 'Gekko', 'Astra', 'Kayo', 'Breach']",5,128,1.07,183.8,1.14,73%,120.7,0.7,0.3,0.09,0.05,29%,20%,4/20,23,90,79,38,11,7
Cloud,Cloud,GX,4181,"['Fade', 'Sova', 'Vyse']",3,176,1.07,206.1,1.03,68%,139.5,0.71,0.26,0.11,0.1,30%,8%,2/25,22,125,121,45,19,18
kamyk,kamyk,TL,1475,"['Sage', 'Sova', 'Gekko', 'Tejo', 'Astra', 'Clove']",6,493,1.07,201.9,1.1,74%,132.9,0.71,0.28,0.09,0.08,25%,15%,10/68,21,352,319,138,44,37
Chronicle,Chronicle,FNC,458,"['Astra', 'Breach', 'Cypher', 'Killjoy']",4,215,1.06,195.8,1.1,70%,131.1,0.69,0.35,0.07,0.08,24%,6%,1/18,24,149,135,75,14,17
RieNs,RieNs,TH,10971,"['Sova', 'Skye', 'Tejo', 'Fade']",4,189,1.06,205.4,1.02,74%,137.4,0.74,0.27,0.11,0.06,43%,9%,3/35,21,140,137,51,21,12
PROFEK,PROFEK,BBL,5554,"['Omen', 'Astra']",2,244,1.05,200.7,1.07,68%,133.8,0.74,0.31,0.06,0.07,30%,28%,10/36,22,180,168,75,14,16
xeus,xeus,FUT,12793,"['Yoru', 'Raze', 'Neon']",3,179,1.05,231.8,1.09,67%,148.7,0.85,0.15,0.14,0.22,38%,25%,3/12,25,153,140,26,25,40
Kada,Kada,M8,20871,"['Astra', 'Omen', 'Cypher', 'Brimstone']",4,192,1.04,181.9,1.03,70%,113.7,0.64,0.36,0.05,0.04,36%,8%,2/24,20,122,119,70,9,8
trexx,trexx,VIT,2168,"['Sova', 'Brimstone', 'Fade', 'Vyse']",4,249,1.03,194.2,1.01,71%,128.3,0.63,0.39,0.08,0.06,17%,18%,6/34,29,157,156,96,19,14
Click,Click,M8,7866,"['Jett', 'Neon', 'Raze', 'Yoru']",4,192,1.02,209.6,1.12,68%,134.1,0.81,0.09,0.19,0.19,38%,25%,2/8,24,155,138,17,36,36
Kicks,Kicks,VIT,11134,"['Omen', 'Skye', 'Breach']",3,249,1.01,194.7,1.0,78%,117.7,0.67,0.47,0.09,0.06,29%,16%,3/19,20,168,168,117,22,15
paTiTek,paTiTek,TL,309,"['Breach', 'Kayo', 'Skye', 'Fade', 'Viper']",5,493,0.99,173.8,0.98,75%,116.2,0.61,0.37,0.09,0.07,26%,13%,6/46,22,302,309,180,42,33
Zyppan,Zyppan,M8,11,"['Kayo', 'Breach', 'Omen', 'Brimstone']",4,192,0.98,179.6,0.91,69%,120.8,0.63,0.43,0.08,0.1,31%,12%,2/17,22,121,133,82,16,19
kamo,kamo,TL,14681,"['Gekko', 'Jett', 'Raze', 'Yoru']",4,493,0.98,219.6,1.05,70%,143.6,0.77,0.16,0.17,0.15,27%,16%,5/31,22,381,364,77,84,74
nAts,nAts,TL,457,"['Cypher', 'Viper', 'Vyse', 'Fade']",4,493,0.98,200.0,1.02,71%,135.0,0.71,0.26,0.11,0.09,29%,11%,5/47,19,348,340,130,52,42
tomaszy,tomaszy,GX,19691,"['Omen', 'Astra', 'Brimstone']",3,176,0.97,182.5,0.91,72%,120.8,0.66,0.41,0.08,0.09,30%,13%,3/24,23,116,128,73,14,15
saadhak,saadhak,KC,727,"['Harbor', 'Deadlock', 'Breach']",3,199,0.97,183.9,0.97,73%,119.2,0.64,0.34,0.07,0.11,26%,15%,3/20,18,127,131,67,14,22
Filu,Filu,MKOI,4544,"['Yoru', 'Jett', 'Raze']",3,117,0.97,228.8,0.99,71%,149.9,0.79,0.17,0.15,0.22,28%,8%,1/13,22,92,93,20,17,26
purp0,purp0,GX,1885,"['Raze', 'Jett']",2,176,0.97,218.5,1.02,70%,143.5,0.78,0.13,0.19,0.16,37%,0%,0/11,22,137,134,23,34,28
Elite,Elite,KC,16459,"['Vyse', 'Killjoy', 'Cypher']",3,199,0.96,170.1,0.96,79%,117.9,0.6,0.24,0.07,0.1,40%,15%,4/27,19,120,125,47,13,19
Boaster,Boaster,FNC,438,"['Omen', 'Brimstone', 'Astra']",3,215,0.95,169.9,0.91,73%,110.8,0.59,0.47,0.09,0.09,23%,26%,6/23,20,127,140,100,20,19
marteen,marteen,KC,10307,['Yoru'],1,199,0.95,204.2,0.97,66%,134.6,0.72,0.19,0.17,0.18,28%,8%,1/12,26,144,148,38,34,36
Jamppi,Jamppi,BBL,9780,"['Breach', 'Sova', 'Fade', 'Tejo']",4,244,0.94,189.0,0.88,74%,127.9,0.64,0.34,0.05,0.08,29%,23%,5/22,22,157,178,83,13,20
MiniBoo,MiniBoo,TH,18350,"['Jett', 'Raze', 'Yoru']",3,189,0.94,197.3,0.92,63%,131.4,0.69,0.19,0.18,0.14,33%,6%,1/16,20,130,142,35,34,27
LewN,LewN,BBL,20144,"['Raze', 'Jett', 'Yoru']",3,244,0.93,205.3,0.98,66%,132.8,0.73,0.19,0.16,0.23,36%,13%,2/16,25,179,182,46,40,56
AvovA,AvovA,APK,1507,"['Astra', 'Omen']",2,111,0.93,175.4,0.85,75%,117.1,0.61,0.33,0.06,0.07,35%,11%,2/19,17,68,80,37,7,8
soulcas,soulcas,MKOI,101,"['Vyse', 'Cypher', 'Viper']",3,117,0.92,184.8,0.93,72%,125.3,0.68,0.24,0.08,0.06,33%,14%,2/14,20,79,85,28,9,7
MrFaliN,MrFaliN,FUT,8044,"['Tejo', 'Breach', 'Sova', 'Omen']",4,179,0.91,164.8,0.84,67%,109.7,0.56,0.33,0.04,0.09,23%,17%,4/24,15,101,120,59,8,16
grubinho,grubinho,MKOI,5550,"['Brimstone', 'Astra', 'Omen']",3,117,0.91,168.3,0.89,72%,104.5,0.62,0.39,0.08,0.1,26%,21%,3/14,20,73,82,46,9,12
qRaxs,qRaxs,FUT,1139,"['Fade', 'Kayo']",2,179,0.9,178.6,0.85,74%,117.8,0.61,0.41,0.06,0.05,26%,7%,1/14,19,110,130,74,11,9
