match_id,match_title,event,date,format,teams,score,maps_played,patch,pick_ban_info,tournament_name
295614,LEVIATÁN vs Sentinels,Champions Tour 2024: Americas Kickoff,2024-02-25 17:40:00,Bo3,LEVIATÁN vs Sentinels,1 - 2,3,Patch 8.03,SEN ban Icebox; LEV ban Sunset; SEN pick Split; LEV pick Breeze; SEN ban Ascent; LEV ban Lotus; Bind remains,Champions Tour 2024 Americas Kickoff_csvs
295619,G2 Esports vs KRÜ Esports,Champions Tour 2024: Americas Kickoff,2024-02-25 20:55:00,Bo3,G2 Esports vs KRÜ Esports,2 - 0,2,Patch 8.03,KRÜ ban Bind; G2 ban Lotus; KRÜ pick Split; G2 pick Sunset; KRÜ ban Breeze; G2 ban Ascent; Icebox remains,Champions Tour 2024 Americas Kickoff_csvs
307572,MIBR vs Sentinels,Champions Tour 2024: Americas Kickoff,2024-02-26 15:00:00,Bo3,MIBR vs Sentinels,0 - 2,2,Patch 8.03,SEN ban Breeze; MIBR ban Bind; SEN pick Split; MIBR pick Ascent; SEN ban Icebox; MIBR ban Lotus; Sunset remains,Champions Tour 2024 Americas Kickoff_csvs
307573,G2 Esports vs MIBR,Champions Tour 2024: Americas Kickoff,2024-02-26 17:10:00,Bo3,G2 Esports vs MIBR,1 - 2,3,Patch 8.03,G2 ban Lotus; MIBR ban Icebox; G2 pick Sunset; MIBR pick Split; G2 ban Bind; MIBR ban Ascent; Breeze remains,Champions Tour 2024 Americas Kickoff_csvs
307574,Sentinels vs G2 Esports,Champions Tour 2024: Americas Kickoff,2024-02-26 20:55:00,Bo3,Sentinels vs G2 Esports,1 - 2,3,Patch 8.03,SEN ban Icebox; G2 ban Lotus; SEN pick Sunset; G2 pick Breeze; SEN ban Ascent; G2 ban Bind; Split remains,Champions Tour 2024 Americas Kickoff_csvs
303087,Evil Geniuses vs LOUD,Champions Tour 2024: Americas Kickoff,2024-03-02 17:00:00,Bo3,Evil Geniuses vs LOUD,1 - 2,3,Patch 8.03,LOUD ban Breeze; EG ban Bind; LOUD pick Ascent; EG pick Icebox; LOUD ban Lotus; EG ban Split; Sunset remains,Champions Tour 2024 Americas Kickoff_csvs
303088,NRG vs Sentinels,Champions Tour 2024: Americas Kickoff,2024-03-02 20:00:00,Bo3,NRG vs Sentinels,1 - 2,3,Patch 8.03,SEN ban Breeze; NRG ban Bind; SEN pick Sunset; NRG pick Ascent; SEN ban Icebox; NRG ban Lotus; Split remains,Champions Tour 2024 Americas Kickoff_csvs
303086,LOUD vs Sentinels,Champions Tour 2024: Americas Kickoff,2024-03-03 17:00:00,Bo5,LOUD vs Sentinels,2 - 3,5,Patch 8.03,LOUD ban Breeze; SEN ban Ascent; LOUD pick Sunset; SEN pick Split; LOUD pick Icebox; SEN pick Bind; Lotus remains,Champions Tour 2024 Americas Kickoff_csvs
314622,Cloud9 vs LEVIATÁN,Champions Tour 2024: Americas Stage 1,2024-04-06 17:00:00,Bo3,Cloud9 vs LEVIATÁN,2 - 1,3,Patch 8.05,C9 ban Breeze; LEV ban Split; C9 pick Icebox; LEV pick Sunset; C9 ban Bind; LEV ban Lotus; Ascent remains,Champions Tour 2024 Americas Stage 1_csvs
314623,NRG vs LOUD,Champions Tour 2024: Americas Stage 1,2024-04-06 21:00:00,Bo3,NRG vs LOUD,2 - 0,2,Patch 8.05,NRG ban Icebox; LOUD ban Split; NRG pick Breeze; LOUD pick Sunset; NRG ban Lotus; LOUD ban Bind; Ascent remains,Champions Tour 2024 Americas Stage 1_csvs
314624,G2 Esports vs Evil Geniuses,Champions Tour 2024: Americas Stage 1,2024-04-07 17:00:00,Bo3,G2 Esports vs Evil Geniuses,2 - 0,2,Patch 8.05,G2 ban Sunset; EG ban Bind; G2 pick Lotus; EG pick Icebox; G2 ban Ascent; EG ban Split; Breeze remains,Champions Tour 2024 Americas Stage 1_csvs
314625,Sentinels vs 100 Thieves,Champions Tour 2024: Americas Stage 1,2024-04-07 19:10:00,Bo3,Sentinels vs 100 Thieves,2 - 0,2,Patch 8.05,100T ban Lotus; SEN ban Breeze; 100T pick Icebox; SEN pick Split; 100T ban Ascent; SEN ban Bind; Sunset remains,Champions Tour 2024 Americas Stage 1_csvs
314626,KRÜ Esports vs FURIA,Champions Tour 2024: Americas Stage 1,2024-04-08 17:00:00,Bo3,KRÜ Esports vs FURIA,2 - 1,3,Patch 8.05,FUR ban Split; KRÜ ban Bind; FUR pick Lotus; KRÜ pick Icebox; FUR ban Sunset; KRÜ ban Ascent; Breeze remains,Champions Tour 2024 Americas Stage 1_csvs
314628,G2 Esports vs 100 Thieves,Champions Tour 2024: Americas Stage 1,2024-04-13 17:00:00,Bo3,G2 Esports vs 100 Thieves,0 - 2,2,Patch 8.05,100T ban Lotus; G2 ban Sunset; 100T pick Bind; G2 pick Split; 100T ban Breeze; G2 ban Ascent; Icebox remains,Champions Tour 2024 Americas Stage 1_csvs
314629,Sentinels vs LEVIATÁN,Champions Tour 2024: Americas Stage 1,2024-04-13 19:25:00,Bo3,Sentinels vs LEVIATÁN,0 - 2,2,Patch 8.05,SEN ban Breeze; LEV ban Split; SEN pick Lotus; LEV pick Icebox; SEN ban Ascent; LEV ban Sunset; Bind remains,Champions Tour 2024 Americas Stage 1_csvs
314630,KRÜ Esports vs MIBR,Champions Tour 2024: Americas Stage 1,2024-04-14 17:00:00,Bo3,KRÜ Esports vs MIBR,2 - 0,2,Patch 8.05,KRÜ ban Bind; MIBR ban Lotus; KRÜ pick Icebox; MIBR pick Sunset; KRÜ ban Breeze; MIBR ban Split; Ascent remains,Champions Tour 2024 Americas Stage 1_csvs
314631,NRG vs FURIA,Champions Tour 2024: Americas Stage 1,2024-04-14 19:20:00,Bo3,NRG vs FURIA,2 - 0,2,Patch 8.05,FUR ban Sunset; NRG ban Icebox; FUR pick Split; NRG pick Breeze; FUR ban Ascent; NRG ban Lotus; Bind remains,Champions Tour 2024 Americas Stage 1_csvs
314632,Cloud9 vs Evil Geniuses,Champions Tour 2024: Americas Stage 1,2024-04-15 17:00:00,Bo3,Cloud9 vs Evil Geniuses,2 - 1,3,Patch 8.05,C9 ban Breeze; EG ban Bind; C9 pick Lotus; EG pick Sunset; C9 ban Icebox; EG ban Ascent; Split remains,Champions Tour 2024 Americas Stage 1_csvs
314634,Sentinels vs MIBR,Champions Tour 2024: Americas Stage 1,2024-04-20 17:00:00,Bo3,Sentinels vs MIBR,2 - 0,2,Patch 8.07,SEN ban Breeze; MIBR ban Split; SEN pick Lotus; MIBR pick Bind; SEN ban Ascent; MIBR ban Icebox; Sunset remains,Champions Tour 2024 Americas Stage 1_csvs
314635,Cloud9 vs LOUD,Champions Tour 2024: Americas Stage 1,2024-04-20 19:30:00,Bo3,Cloud9 vs LOUD,2 - 1,3,Patch 8.07,C9 ban Breeze; LOUD ban Split; C9 pick Bind; LOUD pick Icebox; C9 ban Ascent; LOUD ban Sunset; Lotus remains,Champions Tour 2024 Americas Stage 1_csvs
314636,KRÜ Esports vs Evil Geniuses,Champions Tour 2024: Americas Stage 1,2024-04-21 17:00:00,Bo3,KRÜ Esports vs Evil Geniuses,2 - 0,2,Patch 8.07,EG ban Split; KRÜ ban Bind; EG pick Lotus; KRÜ pick Breeze; EG ban Ascent; KRÜ ban Sunset; Icebox remains,Champions Tour 2024 Americas Stage 1_csvs
314637,NRG vs LEVIATÁN,Champions Tour 2024: Americas Stage 1,2024-04-21 19:15:00,Bo3,NRG vs LEVIATÁN,0 - 2,2,Patch 8.07,NRG ban Icebox; LEV ban Ascent; NRG pick Sunset; LEV pick Bind; NRG ban Lotus; LEV ban Split; Breeze remains,Champions Tour 2024 Americas Stage 1_csvs
314638,G2 Esports vs FURIA,Champions Tour 2024: Americas Stage 1,2024-04-22 17:00:00,Bo3,G2 Esports vs FURIA,2 - 0,2,Patch 8.07,FUR ban Split; G2 ban Sunset; FUR pick Lotus; G2 pick Icebox; FUR ban Ascent; G2 ban Bind; Breeze remains,Champions Tour 2024 Americas Stage 1_csvs
314639,Cloud9 vs 100 Thieves,Champions Tour 2024: Americas Stage 1,2024-04-22 19:00:00,Bo3,Cloud9 vs 100 Thieves,0 - 2,2,Patch 8.07,100T ban Lotus; C9 ban Breeze; 100T pick Bind; C9 pick Ascent; 100T ban Split; C9 ban Sunset; Icebox remains,Champions Tour 2024 Americas Stage 1_csvs
314640,Sentinels vs Evil Geniuses,Champions Tour 2024: Americas Stage 1,2024-04-23 17:00:00,Bo3,Sentinels vs Evil Geniuses,1 - 2,3,Patch 8.07,SEN ban Breeze; EG ban Split; SEN pick Lotus; EG pick Bind; SEN ban Ascent; EG ban Icebox; Sunset remains,Champions Tour 2024 Americas Stage 1_csvs
314641,NRG vs MIBR,Champions Tour 2024: Americas Stage 1,2024-04-23 20:30:00,Bo3,NRG vs MIBR,2 - 0,2,Patch 8.07,MIBR ban Ascent; NRG ban Icebox; MIBR pick Split; NRG pick Breeze; MIBR ban Lotus; NRG ban Bind; Sunset remains,Champions Tour 2024 Americas Stage 1_csvs
314642,G2 Esports vs LEVIATÁN,Champions Tour 2024: Americas Stage 1,2024-04-24 17:00:00,Bo3,G2 Esports vs LEVIATÁN,1 - 2,3,Patch 8.07,LEV ban Split; G2 ban Sunset; LEV pick Breeze; G2 pick Icebox; LEV ban Ascent; G2 ban Bind; Lotus remains,Champions Tour 2024 Americas Stage 1_csvs
314643,KRÜ Esports vs LOUD,Champions Tour 2024: Americas Stage 1,2024-04-24 20:15:00,Bo3,KRÜ Esports vs LOUD,2 - 0,2,Patch 8.07,KRÜ ban Bind; LOUD ban Sunset; KRÜ pick Split; LOUD pick Ascent; KRÜ ban Breeze; LOUD ban Icebox; Lotus remains,Champions Tour 2024 Americas Stage 1_csvs
314644,G2 Esports vs MIBR,Champions Tour 2024: Americas Stage 1,2024-04-27 17:00:00,Bo3,G2 Esports vs MIBR,2 - 0,2,Patch 8.07,G2 ban Sunset; MIBR ban Lotus; G2 pick Icebox; MIBR pick Bind; G2 ban Breeze; MIBR ban Ascent; Split remains,Champions Tour 2024 Americas Stage 1_csvs
314645,Sentinels vs LOUD,Champions Tour 2024: Americas Stage 1,2024-04-27 19:05:00,Bo3,Sentinels vs LOUD,0 - 2,2,Patch 8.07,SEN ban Breeze; LOUD ban Split; SEN pick Lotus; LOUD pick Icebox; SEN ban Bind; LOUD ban Sunset; Ascent remains,Champions Tour 2024 Americas Stage 1_csvs
314646,Cloud9 vs FURIA,Champions Tour 2024: Americas Stage 1,2024-04-28 17:00:00,Bo3,Cloud9 vs FURIA,2 - 1,3,Patch 8.07,FUR ban Sunset; C9 ban Breeze; FUR pick Ascent; C9 pick Lotus; FUR ban Icebox; C9 ban Split; Bind remains,Champions Tour 2024 Americas Stage 1_csvs
314647,NRG vs Evil Geniuses,Champions Tour 2024: Americas Stage 1,2024-04-28 19:55:00,Bo3,NRG vs Evil Geniuses,1 - 2,3,Patch 8.07,NRG ban Icebox; EG ban Breeze; NRG pick Ascent; EG pick Lotus; NRG ban Bind; EG ban Split; Sunset remains,Champions Tour 2024 Americas Stage 1_csvs
314648,KRÜ Esports vs 100 Thieves,Champions Tour 2024: Americas Stage 1,2024-04-29 17:00:00,Bo3,KRÜ Esports vs 100 Thieves,2 - 1,3,Patch 8.07,100T ban Lotus; KRÜ ban Bind; 100T pick Sunset; KRÜ pick Breeze; 100T ban Icebox; KRÜ ban Ascent; Split remains,Champions Tour 2024 Americas Stage 1_csvs
314650,Sentinels vs FURIA,Champions Tour 2024: Americas Stage 1,2024-05-03 20:00:00,Bo3,Sentinels vs FURIA,2 - 0,2,Patch 8.07,SEN ban Breeze; FUR ban Sunset; SEN pick Split; FUR pick Icebox; SEN ban Ascent; FUR ban Lotus; Bind remains,Champions Tour 2024 Americas Stage 1_csvs
314651,NRG vs 100 Thieves,Champions Tour 2024: Americas Stage 1,2024-05-04 17:00:00,Bo3,NRG vs 100 Thieves,0 - 2,2,Patch 8.07,NRG ban Icebox; 100T ban Lotus; NRG pick Split; 100T pick Bind; NRG ban Sunset; 100T ban Breeze; Ascent remains,Champions Tour 2024 Americas Stage 1_csvs
314652,KRÜ Esports vs LEVIATÁN,Champions Tour 2024: Americas Stage 1,2024-05-04 19:20:00,Bo3,KRÜ Esports vs LEVIATÁN,1 - 2,3,Patch 8.07,KRÜ ban Bind; LEV ban Split; KRÜ pick Ascent; LEV pick Breeze; KRÜ ban Sunset; LEV ban Icebox; Lotus remains,Champions Tour 2024 Americas Stage 1_csvs
314653,Cloud9 vs MIBR,Champions Tour 2024: Americas Stage 1,2024-05-05 17:00:00,Bo3,Cloud9 vs MIBR,2 - 0,2,Patch 8.07,C9 ban Breeze; MIBR ban Lotus; C9 pick Icebox; MIBR pick Sunset; C9 ban Ascent; MIBR ban Bind; Split remains,Champions Tour 2024 Americas Stage 1_csvs
314654,G2 Esports vs LOUD,Champions Tour 2024: Americas Stage 1,2024-05-05 19:35:00,Bo3,G2 Esports vs LOUD,0 - 2,2,Patch 8.07,G2 ban Sunset; LOUD ban Split; G2 pick Bind; LOUD pick Icebox; G2 ban Breeze; LOUD ban Ascent; Lotus remains,Champions Tour 2024 Americas Stage 1_csvs
337407,Cloud9 vs G2 Esports,Champions Tour 2024: Americas Stage 1,2024-05-08 17:00:00,Bo3,Cloud9 vs G2 Esports,0 - 2,2,Patch 8.07,C9 ban Breeze; G2 ban Sunset; C9 pick Lotus; G2 pick Ascent; C9 ban Split; G2 ban Icebox; Bind remains,Champions Tour 2024 Americas Stage 1_csvs
337408,100 Thieves vs LOUD,Champions Tour 2024: Americas Stage 1,2024-05-08 19:25:00,Bo3,100 Thieves vs LOUD,2 - 0,2,Patch 8.07,100T ban Lotus; LOUD ban Split; 100T pick Bind; LOUD pick Icebox; 100T ban Breeze; LOUD ban Sunset; Ascent remains,Champions Tour 2024 Americas Stage 1_csvs
337409,KRÜ Esports vs G2 Esports,Champions Tour 2024: Americas Stage 1,2024-05-09 17:00:00,Bo3,KRÜ Esports vs G2 Esports,0 - 2,2,Patch 8.07,KRÜ ban Bind; G2 ban Sunset; KRÜ pick Icebox; G2 pick Ascent; KRÜ ban Split; G2 ban Breeze; Lotus remains,Champions Tour 2024 Americas Stage 1_csvs
337410,LEVIATÁN vs 100 Thieves,Champions Tour 2024: Americas Stage 1,2024-05-09 19:05:00,Bo3,LEVIATÁN vs 100 Thieves,1 - 2,3,Patch 8.07,100T ban Lotus; LEV ban Split; 100T pick Bind; LEV pick Sunset; 100T ban Breeze; LEV ban Ascent; Icebox remains,Champions Tour 2024 Americas Stage 1_csvs
337411,G2 Esports vs 100 Thieves,Champions Tour 2024: Americas Stage 1,2024-05-10 17:00:00,Bo3,G2 Esports vs 100 Thieves,1 - 2,3,Patch 8.07,G2 ban Sunset; 100T ban Lotus; G2 pick Ascent; 100T pick Bind; G2 ban Breeze; 100T ban Icebox; Split remains,Champions Tour 2024 Americas Stage 1_csvs
337413,KRÜ Esports vs LEVIATÁN,Champions Tour 2024: Americas Stage 1,2024-05-10 20:00:00,Bo3,KRÜ Esports vs LEVIATÁN,1 - 2,3,Patch 8.07,LEV ban Split; KRÜ ban Bind; LEV pick Lotus; KRÜ pick Icebox; LEV ban Ascent; KRÜ ban Breeze; Sunset remains,Champions Tour 2024 Americas Stage 1_csvs
337414,G2 Esports vs LEVIATÁN,Champions Tour 2024: Americas Stage 1,2024-05-11 17:00:00,Bo5,G2 Esports vs LEVIATÁN,3 - 2,5,Patch 8.07,G2 ban Sunset; LEV ban Split; G2 pick Bind; LEV pick Breeze; G2 pick Icebox; LEV pick Lotus; Ascent remains,Champions Tour 2024 Americas Stage 1_csvs
337412,100 Thieves vs G2 Esports,Champions Tour 2024: Americas Stage 1,2024-05-12 17:00:00,Bo5,100 Thieves vs G2 Esports,3 - 0,3,Patch 8.07,100T ban Lotus; 100T ban Icebox; 100T pick Bind; G2 pick Breeze; 100T pick Sunset; G2 pick Ascent; Split remains,Champions Tour 2024 Americas Stage 1_csvs
353177,MIBR vs LEVIATÁN,Champions Tour 2024: Americas Stage 2,2024-06-22 17:00:00,Bo3,MIBR vs LEVIATÁN,0 - 2,2,Patch 8.11,MIBR ban Haven; LEV ban Split; MIBR pick Ascent; LEV pick Icebox; MIBR ban Lotus; LEV ban Sunset; Bind remains,Champions Tour 2024 Americas Stage 2_csvs
353178,Sentinels vs NRG,Champions Tour 2024: Americas Stage 2,2024-06-22 19:15:00,Bo3,Sentinels vs NRG,2 - 0,2,Patch 8.11,NRG ban Haven; SEN ban Icebox; NRG pick Lotus; SEN pick Sunset; NRG ban Bind; SEN ban Ascent; Split remains,Champions Tour 2024 Americas Stage 2_csvs
353179,FURIA vs 100 Thieves,Champions Tour 2024: Americas Stage 2,2024-06-23 17:00:00,Bo3,FURIA vs 100 Thieves,2 - 0,2,Patch 8.11,FUR ban Bind; 100T ban Sunset; FUR pick Icebox; 100T pick Haven; FUR ban Lotus; 100T ban Split; Ascent remains,Champions Tour 2024 Americas Stage 2_csvs
353180,LOUD vs Evil Geniuses,Champions Tour 2024: Americas Stage 2,2024-06-23 19:45:00,Bo3,LOUD vs Evil Geniuses,1 - 2,3,Patch 8.11,LOUD ban Split; EG ban Haven; LOUD pick Lotus; EG pick Sunset; LOUD ban Ascent; EG ban Bind; Icebox remains,Champions Tour 2024 Americas Stage 2_csvs
353181,G2 Esports vs Cloud9,Champions Tour 2024: Americas Stage 2,2024-06-24 17:00:00,Bo3,G2 Esports vs Cloud9,2 - 1,3,Patch 8.11,G2 ban Sunset; C9 ban Bind; G2 pick Ascent; C9 pick Icebox; G2 ban Haven; C9 ban Split; Lotus remains,Champions Tour 2024 Americas Stage 2_csvs
353182,Evil Geniuses vs FURIA,Champions Tour 2024: Americas Stage 2,2024-06-29 17:00:00,Bo3,Evil Geniuses vs FURIA,2 - 0,2,Patch 9.0,FUR ban Sunset; EG ban Haven; FUR pick Bind; EG pick Lotus; FUR ban Split; EG ban Ascent; Icebox remains,Champions Tour 2024 Americas Stage 2_csvs
353183,Sentinels vs KRÜ Esports,Champions Tour 2024: Americas Stage 2,2024-06-29 19:00:00,Bo3,Sentinels vs KRÜ Esports,2 - 0,2,Patch 9.0,KRÜ ban Bind; SEN ban Icebox; KRÜ pick Lotus; SEN pick Split; KRÜ ban Haven; SEN ban Sunset; Ascent remains,Champions Tour 2024 Americas Stage 2_csvs
353184,LOUD vs MIBR,Champions Tour 2024: Americas Stage 2,2024-06-30 17:00:00,Bo3,LOUD vs MIBR,2 - 1,3,Patch 9.0,MIBR ban Haven; LOUD ban Split; MIBR pick Ascent; LOUD pick Lotus; MIBR ban Bind; LOUD ban Icebox; Sunset remains,Champions Tour 2024 Americas Stage 2_csvs
353185,LEVIATÁN vs 100 Thieves,Champions Tour 2024: Americas Stage 2,2024-06-30 20:20:00,Bo3,LEVIATÁN vs 100 Thieves,2 - 0,2,Patch 9.0,100T ban Sunset; LEV ban Split; 100T pick Bind; LEV pick Haven; 100T ban Lotus; LEV ban Ascent; Icebox remains,Champions Tour 2024 Americas Stage 2_csvs
353186,NRG vs G2 Esports,Champions Tour 2024: Americas Stage 2,2024-07-01 17:00:00,Bo3,NRG vs G2 Esports,0 - 2,2,Patch 9.0,NRG ban Lotus; G2 ban Sunset; NRG pick Haven; G2 pick Bind; NRG ban Split; G2 ban Icebox; Ascent remains,Champions Tour 2024 Americas Stage 2_csvs
353187,Sentinels vs Cloud9,Champions Tour 2024: Americas Stage 2,2024-07-01 19:25:00,Bo3,Sentinels vs Cloud9,2 - 0,2,Patch 9.0,C9 ban Bind; SEN ban Icebox; C9 pick Haven; SEN pick Split; C9 ban Sunset; SEN ban Ascent; Lotus remains,Champions Tour 2024 Americas Stage 2_csvs
353188,Evil Geniuses vs LEVIATÁN,Champions Tour 2024: Americas Stage 2,2024-07-02 17:00:00,Bo3,Evil Geniuses vs LEVIATÁN,0 - 2,2,Patch 9.0,LEV ban Split; EG ban Haven; LEV pick Icebox; EG pick Sunset; LEV ban Lotus; EG ban Ascent; Bind remains,Champions Tour 2024 Americas Stage 2_csvs
353189,LOUD vs FURIA,Champions Tour 2024: Americas Stage 2,2024-07-02 19:15:00,Bo3,LOUD vs FURIA,1 - 2,3,Patch 9.0,LOUD ban Split; FUR ban Lotus; LOUD pick Haven; FUR pick Icebox; LOUD ban Ascent; FUR ban Sunset; Bind remains,Champions Tour 2024 Americas Stage 2_csvs
353190,MIBR vs 100 Thieves,Champions Tour 2024: Americas Stage 2,2024-07-03 17:00:00,Bo3,MIBR vs 100 Thieves,0 - 2,2,Patch 9.0,100T ban Sunset; MIBR ban Bind; 100T pick Icebox; MIBR pick Split; 100T ban Haven; MIBR ban Ascent; Lotus remains,Champions Tour 2024 Americas Stage 2_csvs
353191,NRG vs KRÜ Esports,Champions Tour 2024: Americas Stage 2,2024-07-03 19:05:00,Bo3,NRG vs KRÜ Esports,2 - 1,3,Patch 9.0,KRÜ ban Bind; NRG ban Lotus; KRÜ pick Split; NRG pick Ascent; KRÜ ban Haven; NRG ban Icebox; Sunset remains,Champions Tour 2024 Americas Stage 2_csvs
353192,G2 Esports vs KRÜ Esports,Champions Tour 2024: Americas Stage 2,2024-07-06 17:00:00,Bo3,G2 Esports vs KRÜ Esports,2 - 1,3,Patch 9.0,KRÜ ban Bind; G2 ban Sunset; KRÜ pick Lotus; G2 pick Ascent; KRÜ ban Haven; G2 ban Icebox; Split remains,Champions Tour 2024 Americas Stage 2_csvs
353193,LOUD vs LEVIATÁN,Champions Tour 2024: Americas Stage 2,2024-07-06 20:35:00,Bo3,LOUD vs LEVIATÁN,0 - 2,2,Patch 9.0,LOUD ban Split; LEV ban Ascent; LOUD pick Lotus; LEV pick Icebox; LOUD ban Bind; LEV ban Sunset; Haven remains,Champions Tour 2024 Americas Stage 2_csvs
353194,MIBR vs FURIA,Champions Tour 2024: Americas Stage 2,2024-07-07 17:00:00,Bo3,MIBR vs FURIA,0 - 2,2,Patch 9.0,MIBR ban Haven; FUR ban Lotus; MIBR pick Sunset; FUR pick Icebox; MIBR ban Split; FUR ban Ascent; Bind remains,Champions Tour 2024 Americas Stage 2_csvs
353195,NRG vs Cloud9,Champions Tour 2024: Americas Stage 2,2024-07-07 19:15:00,Bo3,NRG vs Cloud9,1 - 2,3,Patch 9.0,NRG ban Lotus; C9 ban Bind; NRG pick Ascent; C9 pick Icebox; NRG ban Haven; C9 ban Split; Sunset remains,Champions Tour 2024 Americas Stage 2_csvs
353196,Evil Geniuses vs 100 Thieves,Champions Tour 2024: Americas Stage 2,2024-07-08 17:00:00,Bo3,Evil Geniuses vs 100 Thieves,1 - 2,3,Patch 9.0,EG ban Haven; 100T ban Sunset; EG pick Lotus; 100T pick Bind; EG ban Icebox; 100T ban Split; Ascent remains,Champions Tour 2024 Americas Stage 2_csvs
353197,Cloud9 vs KRÜ Esports,Champions Tour 2024: Americas Stage 2,2024-07-12 20:00:00,Bo3,Cloud9 vs KRÜ Esports,0 - 2,2,Patch 9.0,C9 ban Ascent; KRÜ ban Bind; C9 pick Icebox; KRÜ pick Split; C9 ban Lotus; KRÜ ban Haven; Sunset remains,Champions Tour 2024 Americas Stage 2_csvs
353198,Evil Geniuses vs MIBR,Champions Tour 2024: Americas Stage 2,2024-07-13 17:00:00,Bo3,Evil Geniuses vs MIBR,0 - 2,2,Patch 9.0,EG ban Haven; MIBR ban Icebox; EG pick Bind; MIBR pick Lotus; EG ban Ascent; MIBR ban Split; Sunset remains,Champions Tour 2024 Americas Stage 2_csvs
353199,LEVIATÁN vs FURIA,Champions Tour 2024: Americas Stage 2,2024-07-13 19:10:00,Bo3,LEVIATÁN vs FURIA,2 - 0,2,Patch 9.0,LEV ban Split; FUR ban Lotus; LEV pick Sunset; FUR pick Icebox; LEV ban Ascent; FUR ban Haven; Bind remains,Champions Tour 2024 Americas Stage 2_csvs
