agent_name,total_utilization,map_utilizations,Split,Abyss,Pearl,Lotus,Bind,Haven,Fracture,Icebox,Ascent,Corrode,Sunset,tournament_name
Harbor,10.0,"{'Icebox': 47.0, 'Lotus': 0.0, 'Bind': 0.0, 'Sunset': 0.0, 'Ascent': 0.0, 'Breeze': 5.0, 'Split': 0.0}",,,,,,,,,,,,Champions Tour 2024 Americas Stage 1_csvs
Breach,10.0,"{'Icebox': 0.0, 'Lotus': 3.0, 'Bind': 10.0, 'Sunset': 50.0, 'Ascent': 0.0, 'Breeze': 0.0, 'Split': 15.0}",,,,,,,,,,,,Champions Tour 2024 Americas Stage 1_csvs
Yoru,5.0,"{'Icebox': 0.0, 'Lotus': 0.0, 'Bind': 3.0, 'Sunset': 0.0, 'Ascent': 0.0, 'Breeze': 40.0, 'Split': 5.0}",,,,,,,,,,,,Champions Tour 2024 Americas Stage 1_csvs
Astra,5.0,"{'Icebox': 0.0, 'Lotus': 0.0, 'Bind': 0.0, 'Sunset': 0.0, 'Ascent': 0.0, 'Breeze': 15.0, 'Split': 30.0}",,,,,,,,,,,,Champions Tour 2024 Americas Stage 1_csvs
Sage,3.0,"{'Icebox': 13.0, 'Lotus': 0.0, 'Bind': 0.0, 'Sunset': 0.0, 'Ascent': 5.0, 'Breeze': 0.0, 'Split': 0.0}",,,,,,,,,,,,Champions Tour 2024 Americas Stage 1_csvs
Reyna,2.0,"{'Icebox': 11.0, 'Lotus': 0.0, 'Bind': 0.0, 'Sunset': 0.0, 'Ascent': 0.0, 'Breeze': 0.0, 'Split': 0.0}",,,,,,,,,,,,Champions Tour 2024 Americas Stage 1_csvs
Phoenix,1.0,"{'Icebox': 0.0, 'Lotus': 0.0, 'Bind': 0.0, 'Sunset': 8.0, 'Ascent': 0.0, 'Breeze': 0.0, 'Split': 0.0}",,,,,,,,,,,,Champions Tour 2024 Americas Stage 1_csvs
Deadlock,1.0,"{'Icebox': 0.0, 'Lotus': 6.0, 'Bind': 0.0, 'Sunset': 0.0, 'Ascent': 0.0, 'Breeze': 0.0, 'Split': 0.0}",,,,,,,,,,,,Champions Tour 2024 Americas Stage 1_csvs
Neon,0.0,"{'Icebox': 0.0, 'Lotus': 0.0, 'Bind': 0.0, 'Sunset': 0.0, 'Ascent': 0.0, 'Breeze': 0.0, 'Split': 0.0}",,,,,,,,,,,,Champions Tour 2024 Americas Stage 1_csvs
Iso,0.0,"{'Icebox': 0.0, 'Lotus': 0.0, 'Bind': 0.0, 'Sunset': 0.0, 'Ascent': 0.0, 'Breeze': 0.0, 'Split': 0.0}",,,,,,,,,,,,Champions Tour 2024 Americas Stage 1_csvs
Clove,0.0,"{'Icebox': 0.0, 'Lotus': 0.0, 'Bind': 0.0, 'Sunset': 0.0, 'Ascent': 0.0, 'Breeze': 0.0, 'Split': 0.0}",,,,,,,,,,,,Champions Tour 2024 Americas Stage 1_csvs
Tejo,0.0,"{'Icebox': 0.0, 'Lotus': 0.0, 'Bind': 0.0, 'Sunset': 0.0, 'Ascent': 0.0, 'Breeze': 0.0, 'Split': 0.0}",,,,,,,,,,,,Champions Tour 2024 Americas Stage 1_csvs
Chamber,0.0,"{'Icebox': 0.0, 'Lotus': 0.0, 'Bind': 0.0, 'Sunset': 0.0, 'Ascent': 0.0, 'Breeze': 0.0, 'Split': 0.0}",,,,,,,,,,,,Champions Tour 2024 Americas Stage 1_csvs
Vyse,0.0,"{'Icebox': 0.0, 'Lotus': 0.0, 'Bind': 0.0, 'Sunset': 0.0, 'Ascent': 0.0, 'Breeze': 0.0, 'Split': 0.0}",,,,,,,,,,,,Champions Tour 2024 Americas Stage 1_csvs
Waylay,0.0,"{'Icebox': 0.0, 'Lotus': 0.0, 'Bind': 0.0, 'Sunset': 0.0, 'Ascent': 0.0, 'Breeze': 0.0, 'Split': 0.0}",,,,,,,,,,,,Champions Tour 2024 Americas Stage 1_csvs
Omen,71.0,"{'Lotus': 97.0, 'Icebox': 9.0, 'Ascent': 100.0, 'Bind': 25.0, 'Sunset': 100.0, 'Haven': 100.0, 'Split': 92.0, 'Abyss': 83.0}",,,,,,,,,,,,Champions Tour 2024 Americas Stage 2_csvs
