map,Team,Pistol Won,Eco (won),Semi-eco (won),Semi-buy (won),Full buy(won),match_id,tournament_name
Sunset,BBL,2,2 (2),2 (1),6 (3),14 (7),511580,VCT 2025 EMEA Stage 2_csvs
Ascent,FUT,0,4 (0),2 (1),1 (0),15 (8),511580,VCT 2025 EMEA Stage 2_csvs
Ascent,BBL,2,2 (2),4 (2),4 (2),12 (7),511580,VCT 2025 EMEA Stage 2_csvs
All Maps,FUT,0,8 (0),5 (2),2 (0),31 (18),511580,VCT 2025 EMEA Stage 2_csvs
All Maps,BBL,4,4 (4),6 (3),10 (5),26 (14),511580,VCT 2025 EMEA Stage 2_csvs
Lotus,TL,1,3 (1),1 (0),4 (2),18 (11),511581,VCT 2025 EMEA Stage 2_csvs
Lotus,KC,1,3 (1),1 (0),6 (5),16 (6),511581,VCT 2025 EMEA Stage 2_csvs
Bind,TL,1,3 (1),2 (0),4 (3),19 (9),511581,VCT 2025 EMEA Stage 2_csvs
Bind,KC,1,3 (1),1 (0),12 (6),12 (8),511581,VCT 2025 EMEA Stage 2_csvs
All Maps,TL,0,4 (1),0 (0),5 (1),17 (10),511581,VCT 2025 EMEA Stage 2_csvs
All Maps,KC,2,2 (2),2 (0),6 (3),16 (9),511581,VCT 2025 EMEA Stage 2_csvs
Corrode,FNC,2,2 (2),0 (0),6 (4),12 (7),530924,VCT 2025 EMEA Stage 2_csvs
Corrode,BBL,0,4 (0),3 (1),2 (0),11 (6),530924,VCT 2025 EMEA Stage 2_csvs
Ascent,FNC,1,3 (2),1 (0),8 (2),8 (3),530924,VCT 2025 EMEA Stage 2_csvs
Ascent,BBL,1,3 (1),0 (0),2 (0),15 (12),530924,VCT 2025 EMEA Stage 2_csvs
All Maps,FNC,0,4 (1),0 (0),6 (1),12 (7),530924,VCT 2025 EMEA Stage 2_csvs
All Maps,BBL,2,2 (2),2 (0),6 (3),12 (8),530924,VCT 2025 EMEA Stage 2_csvs
Bind,GX,0,3 (0),3 (1),5 (2),7 (2),530925,VCT 2025 EMEA Stage 2_csvs
Bind,NAVI,2,2 (2),0 (0),3 (3),13 (8),530925,VCT 2025 EMEA Stage 2_csvs
Haven,GX,2,2 (2),0 (0),8 (6),11 (5),530925,VCT 2025 EMEA Stage 2_csvs
Haven,NAVI,0,3 (0),2 (0),5 (2),11 (6),530925,VCT 2025 EMEA Stage 2_csvs
All Maps,GX,1,3 (1),1 (1),2 (2),13 (9),530925,VCT 2025 EMEA Stage 2_csvs
All Maps,NAVI,1,3 (1),1 (0),6 (2),9 (3),530925,VCT 2025 EMEA Stage 2_csvs
Icebox,TH,0,4 (1),1 (1),6 (2),8 (2),530928,VCT 2025 EMEA Stage 2_csvs
Icebox,BBL,2,3 (2),2 (2),4 (2),10 (7),530928,VCT 2025 EMEA Stage 2_csvs
Ascent,TH,0,4 (0),2 (0),2 (1),16 (10),530928,VCT 2025 EMEA Stage 2_csvs
Ascent,BBL,2,2 (2),3 (1),4 (2),15 (8),530928,VCT 2025 EMEA Stage 2_csvs
All Maps,TH,0,8 (1),3 (1),8 (3),24 (12),530928,VCT 2025 EMEA Stage 2_csvs
All Maps,BBL,4,5 (4),5 (3),8 (4),25 (15),530928,VCT 2025 EMEA Stage 2_csvs
Sunset,TL,1,3 (1),1 (1),2 (2),11 (9),530929,VCT 2025 EMEA Stage 2_csvs
Sunset,GX,1,3 (1),1 (0),4 (1),9 (2),530929,VCT 2025 EMEA Stage 2_csvs
Corrode,TL,2,2 (2),2 (0),6 (3),14 (6),530929,VCT 2025 EMEA Stage 2_csvs
Corrode,GX,0,4 (0),3 (0),3 (1),14 (12),530929,VCT 2025 EMEA Stage 2_csvs
All Maps,TL,1,3 (1),3 (0),5 (2),15 (11),530929,VCT 2025 EMEA Stage 2_csvs
All Maps,GX,1,4 (1),1 (0),5 (2),16 (9),530929,VCT 2025 EMEA Stage 2_csvs
Haven,FNC,2,2 (2),1 (0),10 (8),13 (2),530926,VCT 2025 EMEA Stage 2_csvs
Haven,KC,0,4 (0),0 (0),1 (1),21 (13),530926,VCT 2025 EMEA Stage 2_csvs
Corrode,FNC,1,3 (1),1 (1),7 (4),15 (8),530926,VCT 2025 EMEA Stage 2_csvs
Corrode,KC,1,3 (1),3 (0),2 (2),18 (9),530926,VCT 2025 EMEA Stage 2_csvs
All Maps,FNC,2,2 (2),0 (0),8 (4),11 (7),530926,VCT 2025 EMEA Stage 2_csvs
All Maps,KC,0,4 (0),1 (0),4 (1),12 (7),530926,VCT 2025 EMEA Stage 2_csvs
Haven,NAVI,1,3 (1),0 (0),4 (3),13 (9),530927,VCT 2025 EMEA Stage 2_csvs
Haven,VIT,1,3 (1),1 (0),10 (4),6 (2),530927,VCT 2025 EMEA Stage 2_csvs
Bind,NAVI,2,2 (2),2 (1),6 (1),14 (9),530927,VCT 2025 EMEA Stage 2_csvs
Bind,VIT,0,4 (1),1 (0),3 (1),16 (9),530927,VCT 2025 EMEA Stage 2_csvs
All Maps,NAVI,3,5 (3),2 (1),10 (4),27 (18),530927,VCT 2025 EMEA Stage 2_csvs
All Maps,VIT,1,7 (2),2 (0),13 (5),22 (11),530927,VCT 2025 EMEA Stage 2_csvs
Lotus,GX,1,3 (1),0 (0),5 (2),15 (10),530930,VCT 2025 EMEA Stage 2_csvs
Lotus,FNC,1,3 (1),2 (0),7 (4),11 (5),530930,VCT 2025 EMEA Stage 2_csvs
Sunset,GX,2,2 (2),1 (0),8 (5),12 (6),530930,VCT 2025 EMEA Stage 2_csvs
Sunset,FNC,0,4 (0),0 (0),4 (2),15 (8),530930,VCT 2025 EMEA Stage 2_csvs
All Maps,GX,3,5 (3),1 (0),13 (7),27 (16),530930,VCT 2025 EMEA Stage 2_csvs
All Maps,FNC,1,7 (1),2 (0),11 (6),26 (13),530930,VCT 2025 EMEA Stage 2_csvs
Icebox,TH,0,5 (0),1 (0),3 (1),7 (2),530931,VCT 2025 EMEA Stage 2_csvs
Icebox,NAVI,2,2 (2),0 (0),3 (3),11 (8),530931,VCT 2025 EMEA Stage 2_csvs
Haven,TH,1,3 (1),2 (0),5 (1),10 (5),530931,VCT 2025 EMEA Stage 2_csvs
Haven,NAVI,1,3 (1),0 (0),3 (2),14 (10),530931,VCT 2025 EMEA Stage 2_csvs
All Maps,TH,1,8 (1),3 (0),8 (2),17 (7),530931,VCT 2025 EMEA Stage 2_csvs
All Maps,NAVI,3,5 (3),0 (0),6 (5),25 (18),530931,VCT 2025 EMEA Stage 2_csvs
Ascent,BBL,1,3 (1),1 (1),6 (2),13 (6),530932,VCT 2025 EMEA Stage 2_csvs
Ascent,TL,1,3 (1),1 (0),5 (4),14 (8),530932,VCT 2025 EMEA Stage 2_csvs
Sunset,BBL,0,4 (1),2 (1),3 (3),14 (8),530932,VCT 2025 EMEA Stage 2_csvs
Sunset,TL,2,2 (2),2 (0),8 (4),11 (4),530932,VCT 2025 EMEA Stage 2_csvs
All Maps,BBL,2,3 (2),1 (1),8 (4),14 (5),530932,VCT 2025 EMEA Stage 2_csvs
All Maps,TL,0,4 (1),0 (0),6 (3),16 (10),530932,VCT 2025 EMEA Stage 2_csvs
Icebox,GX,1,3 (1),1 (0),5 (2),10 (3),530933,VCT 2025 EMEA Stage 2_csvs
Icebox,NAVI,1,3 (1),0 (0),2 (2),14 (10),530933,VCT 2025 EMEA Stage 2_csvs
Sunset,GX,2,2 (2),1 (0),4 (3),12 (8),530933,VCT 2025 EMEA Stage 2_csvs
Sunset,NAVI,0,4 (0),2 (1),3 (0),10 (5),530933,VCT 2025 EMEA Stage 2_csvs
All Maps,GX,2,2 (2),1 (1),3 (2),11 (8),530933,VCT 2025 EMEA Stage 2_csvs
All Maps,NAVI,0,4 (0),1 (0),3 (2),9 (2),530933,VCT 2025 EMEA Stage 2_csvs
Ascent,BBL,0,3 (0),2 (0),4 (0),6 (2),530934,VCT 2025 EMEA Stage 2_csvs
Ascent,GX,2,2 (2),0 (0),3 (2),10 (9),530934,VCT 2025 EMEA Stage 2_csvs
Sunset,BBL,1,3 (1),2 (0),5 (2),11 (5),530934,VCT 2025 EMEA Stage 2_csvs
Sunset,GX,1,3 (1),1 (0),1 (1),16 (11),530934,VCT 2025 EMEA Stage 2_csvs
Bind,BBL,0,4 (0),2 (0),4 (3),9 (3),530934,VCT 2025 EMEA Stage 2_csvs
Bind,GX,2,2 (2),2 (2),4 (3),11 (6),530934,VCT 2025 EMEA Stage 2_csvs
Lotus,BBL,1,10 (1),6 (0),13 (5),26 (10),530934,VCT 2025 EMEA Stage 2_csvs
Lotus,GX,5,7 (5),3 (2),8 (6),37 (26),530934,VCT 2025 EMEA Stage 2_csvs
All Maps,FRA,0,4 (1),1 (0),5 (2),10 (4),538583,VCT 2025 EMEA Stage 2_csvs
All Maps,EMEA,2,3 (2),0 (0),5 (3),12 (8),538583,VCT 2025 EMEA Stage 2_csvs
Bind,TL,1,3 (1),2 (0),3 (2),15 (10),530935,VCT 2025 EMEA Stage 2_csvs
Bind,GX,1,3 (1),1 (0),9 (4),10 (5),530935,VCT 2025 EMEA Stage 2_csvs
Lotus,TL,1,3 (1),1 (0),2 (1),16 (11),530935,VCT 2025 EMEA Stage 2_csvs
Lotus,GX,1,3 (1),3 (1),6 (2),10 (5),530935,VCT 2025 EMEA Stage 2_csvs
Sunset,TL,2,2 (2),2 (1),7 (5),12 (5),530935,VCT 2025 EMEA Stage 2_csvs
Sunset,GX,0,4 (0),2 (0),3 (3),14 (7),530935,VCT 2025 EMEA Stage 2_csvs
Ascent,TL,4,8 (4),5 (1),12 (8),43 (26),530935,VCT 2025 EMEA Stage 2_csvs
Ascent,GX,2,10 (2),6 (1),18 (9),34 (17),530935,VCT 2025 EMEA Stage 2_csvs
Pearl,BME,2,2 (2),4 (0),6 (3),12 (6),430514,VCT 2025 Pacific Kickoff_csvs
Pearl,T1,0,3 (1),1 (0),2 (2),18 (10),430514,VCT 2025 Pacific Kickoff_csvs
Bind,BME,1,3 (1),1 (1),3 (3),14 (8),430514,VCT 2025 Pacific Kickoff_csvs
Bind,T1,1,3 (1),3 (0),3 (3),12 (4),430514,VCT 2025 Pacific Kickoff_csvs
All Maps,BME,2,2 (2),2 (0),7 (2),9 (3),430514,VCT 2025 Pacific Kickoff_csvs
All Maps,T1,0,4 (0),0 (0),4 (3),12 (10),430514,VCT 2025 Pacific Kickoff_csvs
Split,ZETA,1,3 (1),1 (0),5 (2),13 (6),430515,VCT 2025 Pacific Kickoff_csvs
Split,NS,1,3 (1),1 (0),6 (3),12 (9),430515,VCT 2025 Pacific Kickoff_csvs
Haven,ZETA,1,3 (1),2 (0),6 (2),11 (6),430515,VCT 2025 Pacific Kickoff_csvs
Haven,NS,1,3 (1),1 (0),4 (3),14 (9),430515,VCT 2025 Pacific Kickoff_csvs
All Maps,ZETA,2,6 (2),3 (0),11 (4),24 (12),430515,VCT 2025 Pacific Kickoff_csvs
All Maps,NS,2,6 (2),2 (0),10 (6),26 (18),430515,VCT 2025 Pacific Kickoff_csvs
Abyss,GE,0,3 (0),2 (1),4 (0),7 (2),430516,VCT 2025 Pacific Kickoff_csvs
Abyss,TS,2,2 (2),0 (0),5 (4),9 (7),430516,VCT 2025 Pacific Kickoff_csvs
Split,GE,2,2 (2),3 (1),8 (5),7 (5),430516,VCT 2025 Pacific Kickoff_csvs
Split,TS,0,4 (0),0 (0),4 (1),12 (6),430516,VCT 2025 Pacific Kickoff_csvs
All Maps,GE,2,2 (2),0 (0),4 (4),13 (7),430516,VCT 2025 Pacific Kickoff_csvs
All Maps,TS,0,4 (0),2 (1),3 (3),10 (2),430516,VCT 2025 Pacific Kickoff_csvs
Abyss,DFM,1,3 (1),1 (0),4 (2),18 (11),430517,VCT 2025 Pacific Kickoff_csvs
Abyss,RRQ,1,3 (1),1 (0),6 (3),16 (8),430517,VCT 2025 Pacific Kickoff_csvs
Pearl,DFM,1,3 (1),1 (0),9 (2),3 (0),430517,VCT 2025 Pacific Kickoff_csvs
Pearl,RRQ,1,3 (1),0 (0),4 (3),9 (9),430517,VCT 2025 Pacific Kickoff_csvs
All Maps,DFM,1,3 (1),2 (1),6 (0),5 (1),430517,VCT 2025 Pacific Kickoff_csvs
All Maps,RRQ,1,3 (2),0 (0),1 (1),12 (10),430517,VCT 2025 Pacific Kickoff_csvs
Lotus,DRX,1,4 (1),0 (0),5 (2),15 (10),430521,VCT 2025 Pacific Kickoff_csvs
Lotus,NS,1,2 (1),4 (1),5 (4),13 (5),430521,VCT 2025 Pacific Kickoff_csvs
Pearl,DRX,1,3 (1),2 (0),2 (1),12 (4),430521,VCT 2025 Pacific Kickoff_csvs
Pearl,NS,1,3 (1),0 (0),5 (4),11 (8),430521,VCT 2025 Pacific Kickoff_csvs
All Maps,DRX,2,2 (2),1 (0),8 (4),11 (7),430521,VCT 2025 Pacific Kickoff_csvs
All Maps,NS,0,4 (0),2 (1),2 (0),14 (8),430521,VCT 2025 Pacific Kickoff_csvs
Bind,PRX,1,3 (1),1 (0),9 (3),6 (2),430518,VCT 2025 Pacific Kickoff_csvs
Bind,T1,1,3 (1),0 (0),2 (2),14 (10),430518,VCT 2025 Pacific Kickoff_csvs
Fracture,PRX,2,2 (2),2 (1),6 (3),11 (7),430518,VCT 2025 Pacific Kickoff_csvs
Fracture,T1,0,4 (1),1 (0),4 (1),12 (6),430518,VCT 2025 Pacific Kickoff_csvs
All Maps,PRX,1,3 (1),0 (0),9 (5),12 (5),430518,VCT 2025 Pacific Kickoff_csvs
All Maps,T1,1,3 (1),0 (0),5 (1),16 (11),430518,VCT 2025 Pacific Kickoff_csvs
Split,TLN,2,2 (2),2 (0),9 (2),6 (2),430519,VCT 2025 Pacific Kickoff_csvs
Split,GE,0,5 (0),0 (0),2 (1),12 (12),430519,VCT 2025 Pacific Kickoff_csvs
Abyss,TLN,0,3 (0),1 (1),7 (5),11 (7),430519,VCT 2025 Pacific Kickoff_csvs
Abyss,GE,2,3 (2),2 (0),5 (2),12 (5),430519,VCT 2025 Pacific Kickoff_csvs
All Maps,TLN,2,2 (2),1 (0),4 (3),14 (8),430519,VCT 2025 Pacific Kickoff_csvs
All Maps,GE,0,4 (0),3 (1),1 (1),13 (6),430519,VCT 2025 Pacific Kickoff_csvs
Fracture,GEN,1,3 (1),1 (0),7 (3),8 (2),430520,VCT 2025 Pacific Kickoff_csvs
Fracture,RRQ,1,3 (1),1 (0),5 (3),10 (9),430520,VCT 2025 Pacific Kickoff_csvs
Lotus,GEN,1,3 (1),0 (0),7 (4),11 (8),430520,VCT 2025 Pacific Kickoff_csvs
Lotus,RRQ,1,3 (1),0 (0),10 (4),8 (3),430520,VCT 2025 Pacific Kickoff_csvs
All Maps,GEN,0,3 (0),1 (1),3 (3),19 (10),430520,VCT 2025 Pacific Kickoff_csvs
All Maps,RRQ,2,2 (2),1 (0),7 (4),16 (6),430520,VCT 2025 Pacific Kickoff_csvs
Pearl,NS,2,2 (2),0 (0),4 (3),10 (8),430526,VCT 2025 Pacific Kickoff_csvs
Pearl,BME,0,4 (0),2 (0),3 (0),7 (3),430526,VCT 2025 Pacific Kickoff_csvs
Bind,NS,0,4 (0),2 (1),2 (1),12 (5),430526,VCT 2025 Pacific Kickoff_csvs
Bind,BME,2,2 (2),3 (1),4 (4),11 (6),430526,VCT 2025 Pacific Kickoff_csvs
All Maps,NS,1,2 (1),1 (0),3 (2),16 (10),430526,VCT 2025 Pacific Kickoff_csvs
All Maps,BME,1,3 (1),2 (1),10 (3),7 (4),430526,VCT 2025 Pacific Kickoff_csvs
Lotus,PRX,1,3 (2),0 (0),1 (1),14 (10),430529,VCT 2025 Pacific Kickoff_csvs
Lotus,ZETA,1,3 (1),4 (1),3 (0),8 (3),430529,VCT 2025 Pacific Kickoff_csvs
Fracture,PRX,1,2 (1),2 (1),2 (1),15 (10),430529,VCT 2025 Pacific Kickoff_csvs
Fracture,ZETA,1,3 (1),2 (0),7 (3),9 (4),430529,VCT 2025 Pacific Kickoff_csvs
All Maps,PRX,2,5 (3),2 (1),3 (2),29 (20),430529,VCT 2025 Pacific Kickoff_csvs
All Maps,ZETA,2,6 (2),6 (1),10 (3),17 (7),430529,VCT 2025 Pacific Kickoff_csvs
Lotus,RRQ,1,3 (1),0 (0),11 (4),8 (4),430527,VCT 2025 Pacific Kickoff_csvs
Lotus,TS,1,3 (1),1 (0),4 (3),14 (9),430527,VCT 2025 Pacific Kickoff_csvs
Pearl,RRQ,1,3 (1),0 (0),3 (3),11 (9),430527,VCT 2025 Pacific Kickoff_csvs
Pearl,TS,1,3 (1),2 (0),6 (2),6 (1),430527,VCT 2025 Pacific Kickoff_csvs
All Maps,RRQ,2,2 (2),0 (0),5 (5),10 (6),430527,VCT 2025 Pacific Kickoff_csvs
All Maps,TS,0,4 (0),1 (0),2 (0),10 (4),430527,VCT 2025 Pacific Kickoff_csvs
Abyss,GE,1,3 (1),2 (0),7 (4),9 (3),430528,VCT 2025 Pacific Kickoff_csvs
Abyss,DFM,1,3 (1),0 (0),6 (3),12 (9),430528,VCT 2025 Pacific Kickoff_csvs
Split,GE,0,4 (0),0 (0),2 (2),20 (10),430528,VCT 2025 Pacific Kickoff_csvs
Split,DFM,2,2 (2),1 (0),11 (6),12 (6),430528,VCT 2025 Pacific Kickoff_csvs
it,GE,1,7 (1),2 (0),9 (6),29 (13),430528,VCT 2025 Pacific Kickoff_csvs
it,DFM,3,5 (3),1 (0),17 (9),24 (15),430528,VCT 2025 Pacific Kickoff_csvs
Fracture,T1,1,3 (1),1 (0),3 (3),11 (9),430522,VCT 2025 Pacific Kickoff_csvs
Fracture,TLN,1,3 (1),0 (0),8 (2),7 (2),430522,VCT 2025 Pacific Kickoff_csvs
Bind,T1,0,4 (0),0 (0),7 (3),6 (1),430522,VCT 2025 Pacific Kickoff_csvs
Bind,TLN,2,2 (2),0 (0),5 (3),10 (8),430522,VCT 2025 Pacific Kickoff_csvs
All Maps,T1,1,4 (1),1 (1),1 (0),16 (11),430522,VCT 2025 Pacific Kickoff_csvs
All Maps,TLN,1,2 (1),0 (0),10 (5),10 (3),430522,VCT 2025 Pacific Kickoff_csvs
Abyss,GEN,2,2 (2),2 (0),9 (4),9 (3),430523,VCT 2025 Pacific Kickoff_csvs
Abyss,DRX,0,5 (0),1 (1),2 (1),14 (11),430523,VCT 2025 Pacific Kickoff_csvs
Bind,GEN,0,3 (0),1 (1),7 (4),17 (8),430523,VCT 2025 Pacific Kickoff_csvs
Bind,DRX,2,3 (2),0 (0),5 (2),20 (11),430523,VCT 2025 Pacific Kickoff_csvs
All Maps,GEN,2,5 (2),3 (1),16 (8),26 (11),430523,VCT 2025 Pacific Kickoff_csvs
All Maps,DRX,2,8 (2),1 (1),7 (3),34 (22),430523,VCT 2025 Pacific Kickoff_csvs
Fracture,NS,1,3 (1),2 (0),5 (3),16 (8),430530,VCT 2025 Pacific Kickoff_csvs
Fracture,RRQ,1,3 (1),0 (0),5 (4),18 (9),430530,VCT 2025 Pacific Kickoff_csvs
Lotus,NS,1,2 (1),3 (1),5 (4),32 (16),430530,VCT 2025 Pacific Kickoff_csvs
Lotus,RRQ,1,3 (1),2 (1),6 (3),31 (15),430530,VCT 2025 Pacific Kickoff_csvs
All Maps,NS,1,3 (1),2 (1),2 (0),14 (11),430530,VCT 2025 Pacific Kickoff_csvs
All Maps,RRQ,1,3 (2),2 (0),7 (3),9 (3),430530,VCT 2025 Pacific Kickoff_csvs
Abyss,DFM,2,2 (2),2 (1),13 (6),6 (4),430531,VCT 2025 Pacific Kickoff_csvs
Abyss,PRX,0,3 (0),1 (0),4 (2),15 (8),430531,VCT 2025 Pacific Kickoff_csvs
Pearl,DFM,2,2 (2),0 (0),4 (4),8 (7),430531,VCT 2025 Pacific Kickoff_csvs
Pearl,PRX,0,3 (0),2 (1),8 (0),1 (0),430531,VCT 2025 Pacific Kickoff_csvs
All Maps,DFM,4,4 (4),2 (1),17 (10),14 (11),430531,VCT 2025 Pacific Kickoff_csvs
All Maps,PRX,0,6 (0),3 (1),12 (2),16 (8),430531,VCT 2025 Pacific Kickoff_csvs
Lotus,TLN,2,2 (2),2 (0),6 (3),12 (4),430532,VCT 2025 Pacific Kickoff_csvs
Lotus,NS,0,3 (0),2 (1),2 (1),15 (11),430532,VCT 2025 Pacific Kickoff_csvs
Bind,TLN,2,3 (2),2 (1),4 (3),14 (7),430532,VCT 2025 Pacific Kickoff_csvs
Bind,NS,0,3 (0),0 (0),8 (2),12 (8),430532,VCT 2025 Pacific Kickoff_csvs
split,TLN,2,2 (2),1 (1),4 (3),11 (7),430532,VCT 2025 Pacific Kickoff_csvs
split,NS,0,4 (0),1 (0),6 (3),7 (2),430532,VCT 2025 Pacific Kickoff_csvs
All Maps,TLN,6,7 (6),5 (2),14 (9),37 (18),430532,VCT 2025 Pacific Kickoff_csvs
All Maps,NS,0,10 (0),3 (1),16 (6),34 (21),430532,VCT 2025 Pacific Kickoff_csvs
Abyss,GEN,1,3 (1),0 (0),4 (4),12 (8),430533,VCT 2025 Pacific Kickoff_csvs
Abyss,DFM,1,3 (1),1 (0),8 (5),7 (0),430533,VCT 2025 Pacific Kickoff_csvs
Lotus,GEN,0,4 (1),0 (0),1 (1),14 (11),430533,VCT 2025 Pacific Kickoff_csvs
Lotus,DFM,2,3 (2),1 (0),11 (3),4 (1),430533,VCT 2025 Pacific Kickoff_csvs
All Maps,GEN,1,7 (2),0 (0),5 (5),26 (19),430533,VCT 2025 Pacific Kickoff_csvs
All Maps,DFM,3,6 (3),2 (0),19 (8),11 (1),430533,VCT 2025 Pacific Kickoff_csvs
Lotus,T1,0,4 (0),1 (0),4 (3),15 (10),430524,VCT 2025 Pacific Kickoff_csvs
Lotus,DRX,2,2 (2),5 (1),2 (2),15 (6),430524,VCT 2025 Pacific Kickoff_csvs
Haven,T1,1,3 (1),0 (0),9 (5),16 (7),430524,VCT 2025 Pacific Kickoff_csvs
Haven,DRX,1,3 (1),2 (1),4 (2),19 (11),430524,VCT 2025 Pacific Kickoff_csvs
All Maps,T1,0,5 (1),2 (1),3 (1),13 (7),430524,VCT 2025 Pacific Kickoff_csvs
All Maps,DRX,2,3 (3),3 (1),4 (2),13 (7),430524,VCT 2025 Pacific Kickoff_csvs
Bind,TLN,2,3 (2),0 (0),11 (5),6 (0),430534,VCT 2025 Pacific Kickoff_csvs
Bind,GEN,0,4 (0),0 (0),1 (1),15 (12),430534,VCT 2025 Pacific Kickoff_csvs
Lotus,TLN,0,3 (0),2 (0),8 (2),2 (0),430534,VCT 2025 Pacific Kickoff_csvs
Lotus,GEN,2,2 (2),0 (0),4 (4),9 (7),430534,VCT 2025 Pacific Kickoff_csvs
him,TLN,2,6 (2),2 (0),19 (7),8 (0),430534,VCT 2025 Pacific Kickoff_csvs
him,GEN,2,6 (2),0 (0),5 (5),24 (19),430534,VCT 2025 Pacific Kickoff_csvs
Pearl,T1,2,2 (2),3 (1),6 (4),10 (6),430535,VCT 2025 Pacific Kickoff_csvs
Pearl,GEN,0,4 (0),1 (0),5 (2),11 (6),430535,VCT 2025 Pacific Kickoff_csvs
Lotus,T1,0,4 (0),0 (0),4 (4),13 (9),430535,VCT 2025 Pacific Kickoff_csvs
Lotus,GEN,2,2 (2),0 (0),11 (6),8 (0),430535,VCT 2025 Pacific Kickoff_csvs
Haven,T1,1,3 (1),3 (0),3 (0),9 (4),430535,VCT 2025 Pacific Kickoff_csvs
Haven,GEN,1,3 (2),0 (0),3 (1),12 (10),430535,VCT 2025 Pacific Kickoff_csvs
Split,T1,1,3 (2),2 (1),5 (1),22 (11),430535,VCT 2025 Pacific Kickoff_csvs
Split,GEN,1,3 (2),1 (0),7 (1),21 (14),430535,VCT 2025 Pacific Kickoff_csvs
All Maps,T1,1,3 (1),2 (0),3 (3),15 (9),430535,VCT 2025 Pacific Kickoff_csvs
All Maps,GEN,1,3 (1),1 (0),3 (1),16 (8),430535,VCT 2025 Pacific Kickoff_csvs
Abyss,DRX,2,2 (2),0 (0),4 (3),10 (8),430525,VCT 2025 Pacific Kickoff_csvs
Abyss,T1,0,4 (0),1 (0),5 (2),6 (1),430525,VCT 2025 Pacific Kickoff_csvs
Lotus,DRX,0,4 (0),1 (0),5 (2),9 (4),430525,VCT 2025 Pacific Kickoff_csvs
Lotus,T1,2,2 (2),0 (0),4 (3),13 (8),430525,VCT 2025 Pacific Kickoff_csvs
Fracture,DRX,2,2 (2),1 (1),8 (4),11 (6),430525,VCT 2025 Pacific Kickoff_csvs
Fracture,T1,0,4 (0),0 (0),5 (2),13 (7),430525,VCT 2025 Pacific Kickoff_csvs
Bind,DRX,1,3 (2),1 (0),4 (2),18 (8),430525,VCT 2025 Pacific Kickoff_csvs
Bind,T1,1,3 (2),2 (0),4 (2),17 (10),430525,VCT 2025 Pacific Kickoff_csvs
All Maps,DRX,0,4 (1),0 (0),3 (2),17 (10),430525,VCT 2025 Pacific Kickoff_csvs
All Maps,T1,2,2 (2),4 (1),5 (3),13 (5),430525,VCT 2025 Pacific Kickoff_csvs
Lotus,DFM,1,2 (1),2 (0),6 (3),10 (3),458805,VCT 2025 Pacific Stage 1_csvs
Lotus,GE,1,3 (1),1 (0),3 (2),13 (10),458805,VCT 2025 Pacific Stage 1_csvs
Pearl,DFM,1,3 (1),1 (0),6 (4),14 (6),458805,VCT 2025 Pacific Stage 1_csvs
Pearl,GE,1,3 (1),1 (1),3 (2),17 (9),458805,VCT 2025 Pacific Stage 1_csvs
All Maps,DFM,2,5 (2),3 (0),12 (7),24 (9),458805,VCT 2025 Pacific Stage 1_csvs
All Maps,GE,2,6 (2),2 (1),6 (4),30 (19),458805,VCT 2025 Pacific Stage 1_csvs
Fracture,T1,2,2 (2),1 (0),4 (3),13 (8),458806,VCT 2025 Pacific Stage 1_csvs
Fracture,ZETA,0,3 (0),2 (0),5 (4),10 (3),458806,VCT 2025 Pacific Stage 1_csvs
Split,T1,0,5 (0),1 (0),1 (1),19 (11),458806,VCT 2025 Pacific Stage 1_csvs
Split,ZETA,2,2 (2),0 (0),8 (4),16 (8),458806,VCT 2025 Pacific Stage 1_csvs
All Maps,T1,1,3 (1),0 (0),2 (2),13 (10),458806,VCT 2025 Pacific Stage 1_csvs
All Maps,ZETA,1,3 (1),2 (0),5 (3),8 (1),458806,VCT 2025 Pacific Stage 1_csvs
Haven,DRX,1,3 (1),3 (0),2 (2),14 (10),458807,VCT 2025 Pacific Stage 1_csvs
Haven,PRX,1,3 (1),1 (0),7 (3),11 (5),458807,VCT 2025 Pacific Stage 1_csvs
Icebox,DRX,1,3 (1),2 (0),2 (1),16 (8),458807,VCT 2025 Pacific Stage 1_csvs
Icebox,PRX,1,3 (1),2 (0),5 (4),13 (8),458807,VCT 2025 Pacific Stage 1_csvs
All Maps,DRX,0,3 (0),2 (1),2 (1),13 (11),458807,VCT 2025 Pacific Stage 1_csvs
All Maps,PRX,2,2 (2),1 (0),9 (2),8 (3),458807,VCT 2025 Pacific Stage 1_csvs
Pearl,TLN,0,5 (0),1 (0),5 (1),7 (4),458808,VCT 2025 Pacific Stage 1_csvs
Pearl,TS,2,2 (2),0 (0),7 (5),9 (6),458808,VCT 2025 Pacific Stage 1_csvs
Fracture,TLN,2,2 (2),0 (0),4 (3),9 (8),458808,VCT 2025 Pacific Stage 1_csvs
Fracture,TS,0,4 (0),3 (0),5 (1),3 (1),458808,VCT 2025 Pacific Stage 1_csvs
All Maps,TLN,1,2 (1),2 (2),7 (2),11 (8),458808,VCT 2025 Pacific Stage 1_csvs
All Maps,TS,1,4 (1),1 (0),4 (1),13 (7),458808,VCT 2025 Pacific Stage 1_csvs
Ascent,GEN,0,4 (0),1 (1),4 (2),12 (5),458809,VCT 2025 Pacific Stage 1_csvs
