map,Team,Pistol Won,Eco (won),Semi-eco (won),Semi-buy (won),Full buy(won),match_id,tournament_name
Split,G2,0,4 (0),2 (0),4 (2),7 (2),428002,VCT 2025 Americas Kickoff_csvs
Split,SEN,2,2 (2),1 (1),4 (2),10 (8),428002,VCT 2025 Americas Kickoff_csvs
Pearl,G2,2,2 (2),2 (0),5 (4),12 (7),428002,VCT 2025 Americas Kickoff_csvs
Pearl,SEN,0,4 (0),2 (1),3 (1),12 (6),428002,VCT 2025 Americas Kickoff_csvs
Abyss,G2,1,4 (1),2 (1),3 (2),13 (5),428002,VCT 2025 Americas Kickoff_csvs
Abyss,SEN,1,3 (1),1 (0),3 (2),15 (10),428002,VCT 2025 Americas Kickoff_csvs
Fracture,G2,2,2 (2),0 (0),4 (3),12 (8),428002,VCT 2025 Americas Kickoff_csvs
Fracture,SEN,0,4 (0),2 (0),7 (2),5 (3),428002,VCT 2025 Americas Kickoff_csvs
All Maps,G2,2,2 (2),1 (0),7 (4),13 (7),428002,VCT 2025 Americas Kickoff_csvs
All Maps,SEN,0,4 (0),1 (0),5 (3),13 (7),428002,VCT 2025 Americas Kickoff_csvs
Lotus,C9,0,4 (0),0 (0),5 (1),10 (5),459517,VCT 2025 Americas Stage 1_csvs
Lotus,NRG,2,2 (2),0 (0),8 (6),9 (5),459517,VCT 2025 Americas Stage 1_csvs
Fracture,C9,1,3 (2),0 (0),3 (3),12 (8),459517,VCT 2025 Americas Stage 1_csvs
Fracture,NRG,1,3 (1),1 (0),8 (3),6 (1),459517,VCT 2025 Americas Stage 1_csvs
All Maps,C9,2,2 (2),2 (0),6 (4),12 (7),459517,VCT 2025 Americas Stage 1_csvs
All Maps,NRG,0,3 (0),3 (1),7 (5),9 (3),459517,VCT 2025 Americas Stage 1_csvs
Fracture,KRÜ,0,3 (0),2 (1),5 (2),6 (0),459518,VCT 2025 Americas Stage 1_csvs
Fracture,LOUD,2,3 (2),0 (0),2 (1),11 (10),459518,VCT 2025 Americas Stage 1_csvs
Haven,KRÜ,2,2 (2),0 (0),5 (4),8 (7),459518,VCT 2025 Americas Stage 1_csvs
Haven,LOUD,0,3 (0),3 (0),3 (1),6 (1),459518,VCT 2025 Americas Stage 1_csvs
All Maps,KRÜ,2,4 (2),2 (1),6 (3),11 (7),459518,VCT 2025 Americas Stage 1_csvs
All Maps,LOUD,0,4 (1),2 (0),4 (2),13 (7),459518,VCT 2025 Americas Stage 1_csvs
Lotus,G2,1,3 (1),3 (0),4 (4),13 (8),459519,VCT 2025 Americas Stage 1_csvs
Lotus,FUR,1,3 (1),2 (0),6 (2),12 (7),459519,VCT 2025 Americas Stage 1_csvs
Ascent,G2,2,3 (2),1 (1),5 (2),11 (8),459519,VCT 2025 Americas Stage 1_csvs
Ascent,FUR,0,4 (1),0 (0),5 (3),11 (3),459519,VCT 2025 Americas Stage 1_csvs
