match_id,map_name,map_order,score,winner,duration,picked_by,tournament_name
459532,Lotus,1,13 - 1,G2 Esports,39:18,NRG,VCT 2025 Americas Stage 1_csvs
459532,Ascent,2,13 - 6,G2 Esports,45:13,G2 Esports,VCT 2025 Americas Stage 1_csvs
459533,Ascent,1,4 - 13,LEVIATÁN,45:56,FURIA,VCT 2025 Americas Stage 1_csvs
459533,Pearl,2,5 - 13,LEVIATÁN,42:06,LEVIATÁN,VCT 2025 Americas Stage 1_csvs
459534,Pearl,1,13 - 9,Cloud9,1:00:19,MIBR,VCT 2025 Americas Stage 1_csvs
459534,Lotus,2,13 - 15,MIBR,1:01:15,Cloud9,VCT 2025 Americas Stage 1_csvs
459534,Haven,3,11 - 13,MIBR,54:53,Decider,VCT 2025 Americas Stage 1_csvs
459535,Ascent,1,15 - 13,100 Thieves,1:14:32,2Game Esports,VCT 2025 Americas Stage 1_csvs
459535,Icebox,2,13 - 6,100 Thieves,40:50,100 Thieves,VCT 2025 Americas Stage 1_csvs
459536,Lotus,1,13 - 10,G2 Esports,1:03:37,G2 Esports,VCT 2025 Americas Stage 1_csvs
459536,Fracture,2,11 - 13,LEVIATÁN,55:09,LEVIATÁN,VCT 2025 Americas Stage 1_csvs
459536,Haven,3,13 - 7,G2 Esports,44:09,Decider,VCT 2025 Americas Stage 1_csvs
459537,Lotus,1,14 - 16,Cloud9,1:20:37,FURIA,VCT 2025 Americas Stage 1_csvs
459537,Pearl,2,1 - 13,Cloud9,33:41,Cloud9,VCT 2025 Americas Stage 1_csvs
459538,Split,1,13 - 10,Sentinels,1:03:10,Sentinels,VCT 2025 Americas Stage 1_csvs
459538,Lotus,2,11 - 13,LOUD,55:13,LOUD,VCT 2025 Americas Stage 1_csvs
459538,Haven,3,13 - 5,Sentinels,36:15,Decider,VCT 2025 Americas Stage 1_csvs
459539,Lotus,1,4 - 13,Evil Geniuses,53:00,VISA KRÜ(KRÜ Esports),VCT 2025 Americas Stage 1_csvs
459539,Pearl,2,7 - 13,Evil Geniuses,50:32,Evil Geniuses,VCT 2025 Americas Stage 1_csvs
459540,Haven,1,6 - 13,MIBR,49:42,NRG,VCT 2025 Americas Stage 1_csvs
459540,Icebox,2,5 - 13,MIBR,41:04,MIBR,VCT 2025 Americas Stage 1_csvs
459541,Icebox,1,13 - 5,G2 Esports,48:28,Cloud9,VCT 2025 Americas Stage 1_csvs
459541,Haven,2,4 - 13,Cloud9,35:56,G2 Esports,VCT 2025 Americas Stage 1_csvs
459541,Pearl,3,13 - 11,G2 Esports,55:53,Decider,VCT 2025 Americas Stage 1_csvs
459542,Icebox,1,13 - 3,MIBR,49:18,MIBR,VCT 2025 Americas Stage 1_csvs
459542,Ascent,2,9 - 13,FURIA,45:32,FURIA,VCT 2025 Americas Stage 1_csvs
459542,Split,3,13 - 8,MIBR,44:36,Decider,VCT 2025 Americas Stage 1_csvs
459543,Haven,1,13 - 4,Sentinels,53:37,2Game Esports,VCT 2025 Americas Stage 1_csvs
459543,Pearl,2,13 - 5,Sentinels,47:59,Sentinels,VCT 2025 Americas Stage 1_csvs
459544,Fracture,1,13 - 10,VISA KRÜ(KRÜ Esports),49:14,100 Thieves,VCT 2025 Americas Stage 1_csvs
459544,Icebox,2,13 - 9,VISA KRÜ(KRÜ Esports),50:50,VISA KRÜ(KRÜ Esports),VCT 2025 Americas Stage 1_csvs
459545,Lotus,1,11 - 13,LOUD,1:02:10,LOUD,VCT 2025 Americas Stage 1_csvs
459545,Pearl,2,14 - 12,Evil Geniuses,1:19:08,Evil Geniuses,VCT 2025 Americas Stage 1_csvs
459545,Split,3,13 - 11,Evil Geniuses,57:18,Decider,VCT 2025 Americas Stage 1_csvs
459546,Fracture,1,13 - 15,NRG,1:01:26,NRG,VCT 2025 Americas Stage 1_csvs
459546,Icebox,2,8 - 13,NRG,44:28,LEVIATÁN,VCT 2025 Americas Stage 1_csvs
475897,Split,1,13 - 10,MIBR,1:06:50,100 Thieves,VCT 2025 Americas Stage 1_csvs
475897,Icebox,2,13 - 4,MIBR,37:57,MIBR,VCT 2025 Americas Stage 1_csvs
475898,Ascent,1,13 - 9,Sentinels,57:32,Cloud9,VCT 2025 Americas Stage 1_csvs
475898,Pearl,2,13 - 9,Sentinels,1:30:48,Sentinels,VCT 2025 Americas Stage 1_csvs
475903,Fracture,1,13 - 5,100 Thieves,55:46,100 Thieves,VCT 2025 Americas Stage 1_csvs
475903,Haven,2,13 - 11,100 Thieves,52:32,NRG,VCT 2025 Americas Stage 1_csvs
475904,Fracture,1,9 - 13,Evil Geniuses,57:18,Evil Geniuses,VCT 2025 Americas Stage 1_csvs
475904,Icebox,2,13 - 15,Evil Geniuses,1:06:17,Cloud9,VCT 2025 Americas Stage 1_csvs
475899,Lotus,1,8 - 13,MIBR,58:52,VISA KRÜ(KRÜ Esports),VCT 2025 Americas Stage 1_csvs
475899,Icebox,2,5 - 13,MIBR,36:49,MIBR,VCT 2025 Americas Stage 1_csvs
475900,Split,1,13 - 5,G2 Esports,52:23,Sentinels,VCT 2025 Americas Stage 1_csvs
475900,Icebox,2,11 - 13,Sentinels,54:31,G2 Esports,VCT 2025 Americas Stage 1_csvs
475900,Ascent,3,11 - 13,Sentinels,56:50,Decider,VCT 2025 Americas Stage 1_csvs
475906,Lotus,1,12 - 14,Evil Geniuses,1:17:07,Evil Geniuses,VCT 2025 Americas Stage 1_csvs
475906,Icebox,2,11 - 13,Evil Geniuses,56:08,VISA KRÜ(KRÜ Esports),VCT 2025 Americas Stage 1_csvs
475905,Haven,1,13 - 4,G2 Esports,52:43,100 Thieves,VCT 2025 Americas Stage 1_csvs
475905,Split,2,12 - 14,100 Thieves,1:00:10,G2 Esports,VCT 2025 Americas Stage 1_csvs
475905,Pearl,3,16 - 14,G2 Esports,1:10:55,Decider,VCT 2025 Americas Stage 1_csvs
475901,Lotus,1,7 - 13,Sentinels,1:27:20,MIBR,VCT 2025 Americas Stage 1_csvs
475901,Split,2,11 - 13,Sentinels,55:23,Sentinels,VCT 2025 Americas Stage 1_csvs
475907,Lotus,1,9 - 13,Evil Geniuses,1:02:48,Evil Geniuses,VCT 2025 Americas Stage 1_csvs
475907,Split,2,13 - 7,G2 Esports,46:03,G2 Esports,VCT 2025 Americas Stage 1_csvs
475907,Pearl,3,13 - 11,G2 Esports,57:09,Decider,VCT 2025 Americas Stage 1_csvs
475908,Haven,1,13 - 10,MIBR,1:07:02,MIBR,VCT 2025 Americas Stage 1_csvs
475908,Lotus,2,13 - 15,G2 Esports,1:05:11,G2 Esports,VCT 2025 Americas Stage 1_csvs
475908,Split,3,10 - 13,G2 Esports,56:00,MIBR,VCT 2025 Americas Stage 1_csvs
475908,Ascent,4,8 - 13,G2 Esports,44:37,G2 Esports,VCT 2025 Americas Stage 1_csvs
475902,Haven,1,9 - 13,G2 Esports,1:04:24,Sentinels,VCT 2025 Americas Stage 1_csvs
475902,Split,2,9 - 13,G2 Esports,47:11,G2 Esports,VCT 2025 Americas Stage 1_csvs
475902,Pearl,3,13 - 10,Sentinels,55:28,Sentinels,VCT 2025 Americas Stage 1_csvs
475902,Ascent,4,10 - 13,G2 Esports,55:21,G2 Esports,VCT 2025 Americas Stage 1_csvs
509801,Haven,1,13 - 5,Cloud9,51:54,FURIA,VCT 2025 Americas Stage 2_csvs
509801,Bind,2,13 - 4,Cloud9,39:12,Cloud9,VCT 2025 Americas Stage 2_csvs
509802,Bind,1,13 - 10,LEVIATÁN,52:51,LEVIATÁN,VCT 2025 Americas Stage 2_csvs
509802,Ascent,2,10 - 13,LOUD,48:25,LOUD,VCT 2025 Americas Stage 2_csvs
509802,Icebox,3,11 - 13,LOUD,54:22,Decider,VCT 2025 Americas Stage 2_csvs
509803,Sunset,1,7 - 13,2Game Esports,56:02,2Game Esports,VCT 2025 Americas Stage 2_csvs
509803,Lotus,2,13 - 11,Evil Geniuses,57:27,Evil Geniuses,VCT 2025 Americas Stage 2_csvs
509803,Ascent,3,13 - 9,Evil Geniuses,49:23,Decider,VCT 2025 Americas Stage 2_csvs
509804,Corrode,1,13 - 9,MIBR,57:52,VISA KRÜ(KRÜ Esports),VCT 2025 Americas Stage 2_csvs
509804,Ascent,2,1 - 13,VISA KRÜ(KRÜ Esports),30:42,MIBR,VCT 2025 Americas Stage 2_csvs
509804,Haven,3,9 - 13,VISA KRÜ(KRÜ Esports),47:42,Decider,VCT 2025 Americas Stage 2_csvs
509805,Bind,1,13 - 10,100 Thieves,1:03:22,100 Thieves,VCT 2025 Americas Stage 2_csvs
509805,Sunset,2,13 - 4,100 Thieves,32:59,NRG,VCT 2025 Americas Stage 2_csvs
509806,Corrode,1,13 - 8,Sentinels,55:23,Sentinels,VCT 2025 Americas Stage 2_csvs
509806,Ascent,2,6 - 13,G2 Esports,48:11,G2 Esports,VCT 2025 Americas Stage 2_csvs
509806,Lotus,3,14 - 12,Sentinels,1:00:49,Decider,VCT 2025 Americas Stage 2_csvs
509807,Ascent,1,8 - 13,G2 Esports,1:02:41,2Game Esports,VCT 2025 Americas Stage 2_csvs
509807,Haven,2,5 - 13,G2 Esports,41:13,G2 Esports,VCT 2025 Americas Stage 2_csvs
509808,Sunset,1,4 - 13,Sentinels,41:59,Sentinels,VCT 2025 Americas Stage 2_csvs
509808,Icebox,2,0 - 13,Sentinels,33:49,FURIA,VCT 2025 Americas Stage 2_csvs
509809,Corrode,1,13 - 4,100 Thieves,45:15,VISA KRÜ(KRÜ Esports),VCT 2025 Americas Stage 2_csvs
509809,Bind,2,13 - 5,100 Thieves,39:57,100 Thieves,VCT 2025 Americas Stage 2_csvs
509810,Haven,1,13 - 4,NRG,44:37,LOUD,VCT 2025 Americas Stage 2_csvs
509810,Corrode,2,13 - 9,NRG,51:55,NRG,VCT 2025 Americas Stage 2_csvs
509811,Lotus,1,13 - 7,Cloud9,42:40,Evil Geniuses,VCT 2025 Americas Stage 2_csvs
509811,Haven,2,13 - 10,Cloud9,57:15,Cloud9,VCT 2025 Americas Stage 2_csvs
509812,Lotus,1,8 - 13,LEVIATÁN,55:55,MIBR,VCT 2025 Americas Stage 2_csvs
509812,Sunset,2,3 - 13,LEVIATÁN,58:40,LEVIATÁN,VCT 2025 Americas Stage 2_csvs
509813,Corrode,1,12 - 14,FURIA,1:13:27,FURIA,VCT 2025 Americas Stage 2_csvs
509813,Sunset,2,13 - 3,2Game Esports,36:01,2Game Esports,VCT 2025 Americas Stage 2_csvs
509813,Ascent,3,13 - 2,2Game Esports,35:52,Decider,VCT 2025 Americas Stage 2_csvs
509814,Lotus,1,7 - 13,NRG,51:57,NRG,VCT 2025 Americas Stage 2_csvs
509814,Haven,2,14 - 12,LEVIATÁN,56:20,LEVIATÁN,VCT 2025 Americas Stage 2_csvs
509814,Icebox,3,11 - 13,NRG,54:22,Decider,VCT 2025 Americas Stage 2_csvs
509815,Lotus,1,13 - 5,Sentinels,43:19,Sentinels,VCT 2025 Americas Stage 2_csvs
509815,Haven,2,13 - 9,Sentinels,49:12,Cloud9,VCT 2025 Americas Stage 2_csvs
509816,Icebox,1,13 - 10,MIBR,59:01,MIBR,VCT 2025 Americas Stage 2_csvs
509816,Bind,2,14 - 12,MIBR,1:02:04,100 Thieves,VCT 2025 Americas Stage 2_csvs
509817,Corrode,1,11 - 13,Evil Geniuses,1:09:50,G2 Esports,VCT 2025 Americas Stage 2_csvs
509817,Haven,2,13 - 4,G2 Esports,39:40,Evil Geniuses,VCT 2025 Americas Stage 2_csvs
509817,Ascent,3,13 - 4,G2 Esports,39:26,Decider,VCT 2025 Americas Stage 2_csvs
509818,Haven,1,7 - 13,VISA KRÜ(KRÜ Esports),49:07,LOUD,VCT 2025 Americas Stage 2_csvs
509818,Bind,2,13 - 9,LOUD,45:15,VISA KRÜ(KRÜ Esports),VCT 2025 Americas Stage 2_csvs
509818,Ascent,3,4 - 13,VISA KRÜ(KRÜ Esports),38:39,Decider,VCT 2025 Americas Stage 2_csvs
509819,Bind,1,13 - 1,Cloud9,44:15,Cloud9,VCT 2025 Americas Stage 2_csvs
509819,Lotus,2,13 - 7,Cloud9,45:35,2Game Esports,VCT 2025 Americas Stage 2_csvs
509820,Lotus,1,13 - 15,NRG,1:11:32,NRG,VCT 2025 Americas Stage 2_csvs
509820,Bind,2,10 - 13,NRG,55:22,MIBR,VCT 2025 Americas Stage 2_csvs
509821,Lotus,1,13 - 8,Sentinels,1:02:27,Sentinels,VCT 2025 Americas Stage 2_csvs
509821,Corrode,2,13 - 4,Sentinels,38:56,Evil Geniuses,VCT 2025 Americas Stage 2_csvs
