match_id,match_title,event,date,format,teams,score,maps_played,patch,pick_ban_info
319765,Bilibili Gaming vs TYLOO,Champions Tour 2024: China Stage 1,2024-04-05 05:00:00,Bo3,Bilibili Gaming vs TYLOO,2 - 1,3,,TYL ban Sunset; BLG ban Ascent; TYL pick Bind; BLG pick Icebox; TYL ban Breeze; BLG ban Split; Lotus remains
319776,TYLOO vs EDward Gaming,Champions Tour 2024: China Stage 1,2024-04-14 07:50:00,Bo3,TYLOO vs EDward Gaming,0 - 2,2,,EDG ban Lotus; TYL ban Breeze; EDG pick Sunset; TYL pick Bind; EDG ban Ascent; TYL ban Icebox; Split remains
319777,Wolves Esports vs Trace Esports,Champions Tour 2024: China Stage 1,2024-04-19 05:00:00,Bo3,Wolves Esports vs Trace Esports,0 - 2,2,,WOL ban Sunset; TE ban Icebox; WOL pick Ascent; TE pick Lotus; WOL ban Split; TE ban Breeze; Bind remains
319778,Nova Esports vs FunPlus Phoenix,Champions Tour 2024: China Stage 1,2024-04-19 07:25:00,Bo3,Nova Esports vs FunPlus Phoenix,0 - 2,2,,NOVA ban Breeze; FPX ban Split; NOVA pick Ascent; FPX pick Lotus; NOVA ban Icebox; FPX ban Bind; Sunset remains
319779,Bilibili Gaming vs All Gamers,Champions Tour 2024: China Stage 1,2024-04-20 05:00:00,Bo3,Bilibili Gaming vs All Gamers,0 - 2,2,,BLG ban Breeze; AG ban Ascent; BLG pick Lotus; AG pick Bind; BLG ban Icebox; AG ban Sunset; Split remains
319780,Dragon Ranger Gaming vs JDG Esports,Champions Tour 2024: China Stage 1,2024-04-20 07:40:00,Bo3,Dragon Ranger Gaming vs JDG Esports,2 - 1,3,,JDG ban Ascent; DRG ban Lotus; JDG pick Breeze; DRG pick Icebox; JDG ban Split; DRG ban Sunset; Bind remains
319781,TYLOO vs Nova Esports,Champions Tour 2024: China Stage 1,2024-04-21 05:00:00,Bo3,TYLOO vs Nova Esports,2 - 1,3,,TYL ban Sunset; NOVA ban Breeze; TYL pick Icebox; NOVA pick Ascent; TYL ban Lotus; NOVA ban Bind; Split remains
319782,EDward Gaming vs Titan Esports Club,Champions Tour 2024: China Stage 1,2024-04-21 09:00:00,Bo3,EDward Gaming vs Titan Esports Club,2 - 0,2,,EDG ban Lotus; TEC ban Icebox; EDG pick Ascent; TEC pick Sunset; EDG ban Breeze; TEC ban Split; Bind remains
319783,Titan Esports Club vs Bilibili Gaming,Champions Tour 2024: China Stage 1,2024-04-26 05:00:00,Bo3,Titan Esports Club vs Bilibili Gaming,2 - 1,3,,BLG ban Breeze; TEC ban Ascent; BLG pick Sunset; TEC pick Bind; BLG ban Split; TEC ban Lotus; Icebox remains
319784,Trace Esports vs Dragon Ranger Gaming,Champions Tour 2024: China Stage 1,2024-04-26 08:05:00,Bo3,Trace Esports vs Dragon Ranger Gaming,0 - 2,2,,DRG ban Lotus; TE ban Icebox; DRG pick Breeze; TE pick Sunset; DRG ban Bind; TE ban Ascent; Split remains
319785,TYLOO vs Wolves Esports,Champions Tour 2024: China Stage 1,2024-04-27 05:00:00,Bo3,TYLOO vs Wolves Esports,1 - 2,3,,WOL ban Bind; TYL ban Icebox; WOL pick Sunset; TYL pick Split; WOL ban Lotus; TYL ban Breeze; Ascent remains
319786,FunPlus Phoenix vs EDward Gaming,Champions Tour 2024: China Stage 1,2024-04-27 08:30:00,Bo3,FunPlus Phoenix vs EDward Gaming,2 - 1,3,,FPX ban Split; EDG ban Lotus; FPX pick Breeze; EDG pick Bind; FPX ban Sunset; EDG ban Icebox; Ascent remains
319787,All Gamers vs Nova Esports,Champions Tour 2024: China Stage 1,2024-04-28 05:00:00,Bo3,All Gamers vs Nova Esports,2 - 1,3,,AG ban Ascent; NOVA ban Breeze; AG pick Lotus; NOVA pick Bind; AG ban Sunset; NOVA ban Icebox; Split remains
319788,Bilibili Gaming vs JDG Esports,Champions Tour 2024: China Stage 1,2024-04-28 08:40:00,Bo3,Bilibili Gaming vs JDG Esports,2 - 0,2,,JDG ban Breeze; BLG ban Ascent; JDG pick Icebox; BLG pick Lotus; JDG ban Split; BLG ban Sunset; Bind remains
319789,EDward Gaming vs All Gamers,Champions Tour 2024: China Stage 1,2024-05-02 07:00:00,Bo3,EDward Gaming vs All Gamers,2 - 0,2,,AG ban Ascent; EDG ban Lotus; AG pick Sunset; EDG pick Icebox; AG ban Split; EDG ban Bind; Breeze remains
319790,Wolves Esports vs JDG Esports,Champions Tour 2024: China Stage 1,2024-05-03 07:00:00,Bo3,Wolves Esports vs JDG Esports,0 - 2,2,,JDG ban Breeze; WOL ban Bind; JDG pick Lotus; WOL pick Ascent; JDG ban Split; WOL ban Icebox; Sunset remains
319791,Dragon Ranger Gaming vs TYLOO,Champions Tour 2024: China Stage 1,2024-05-04 05:00:00,Bo3,Dragon Ranger Gaming vs TYLOO,0 - 2,2,,TYL ban Sunset; DRG ban Lotus; TYL pick Bind; DRG pick Breeze; TYL ban Icebox; DRG ban Ascent; Split remains
319792,Bilibili Gaming vs FunPlus Phoenix,Champions Tour 2024: China Stage 1,2024-05-04 07:30:00,Bo3,Bilibili Gaming vs FunPlus Phoenix,0 - 2,2,,BLG ban Breeze; FPX ban Split; BLG pick Icebox; FPX pick Lotus; BLG ban Ascent; FPX ban Bind; Sunset remains
319793,Nova Esports vs Titan Esports Club,Champions Tour 2024: China Stage 1,2024-05-05 05:00:00,Bo3,Nova Esports vs Titan Esports Club,2 - 0,2,,NOVA ban Breeze; TEC ban Ascent; NOVA pick Split; TEC pick Lotus; NOVA ban Icebox; TEC ban Bind; Sunset remains
319794,Trace Esports vs EDward Gaming,Champions Tour 2024: China Stage 1,2024-05-05 07:05:00,Bo3,Trace Esports vs EDward Gaming,0 - 2,2,,TE ban Icebox; EDG ban Lotus; TE pick Sunset; EDG pick Breeze; TE ban Ascent; EDG ban Split; Bind remains
342356,Trace Esports vs All Gamers,Champions Tour 2024: China Stage 1,2024-05-08 05:00:00,Bo3,Trace Esports vs All Gamers,2 - 0,2,,TE ban Icebox; AG ban Ascent; TE pick Sunset; AG pick Breeze; TE ban Bind; AG ban Split; Lotus remains
342357,Dragon Ranger Gaming vs Nova Esports,Champions Tour 2024: China Stage 1,2024-05-08 07:15:00,Bo3,Dragon Ranger Gaming vs Nova Esports,2 - 0,2,,NOVA ban Breeze; DRG ban Lotus; NOVA pick Bind; DRG pick Ascent; NOVA ban Icebox; DRG ban Split; Sunset remains
342358,FunPlus Phoenix vs Trace Esports,Champions Tour 2024: China Stage 1,2024-05-09 05:00:00,Bo3,FunPlus Phoenix vs Trace Esports,2 - 0,2,,TE ban Icebox; FPX ban Split; TE pick Bind; FPX pick Lotus; TE ban Ascent; FPX ban Breeze; Sunset remains
342359,EDward Gaming vs Dragon Ranger Gaming,Champions Tour 2024: China Stage 1,2024-05-09 07:30:00,Bo3,EDward Gaming vs Dragon Ranger Gaming,2 - 0,2,,DRG ban Sunset; EDG ban Icebox; DRG pick Ascent; EDG pick Split; DRG ban Lotus; EDG ban Breeze; Bind remains
342360,FunPlus Phoenix vs EDward Gaming,Champions Tour 2024: China Stage 1,2024-05-10 05:00:00,Bo3,FunPlus Phoenix vs EDward Gaming,2 - 0,2,,FPX ban Split; EDG ban Lotus; FPX pick Icebox; EDG pick Breeze; FPX ban Sunset; EDG ban Ascent; Bind remains
342361,Trace Esports vs Dragon Ranger Gaming,Champions Tour 2024: China Stage 1,2024-05-10 07:45:00,Bo3,Trace Esports vs Dragon Ranger Gaming,1 - 2,3,,TE ban Icebox; DRG ban Lotus; TE pick Sunset; DRG pick Split; TE ban Ascent; DRG ban Breeze; Bind remains
342362,EDward Gaming vs Dragon Ranger Gaming,Champions Tour 2024: China Stage 1,2024-05-11 05:00:00,Bo5,EDward Gaming vs Dragon Ranger Gaming,3 - 1,4,,EDG ban Icebox; DRG ban Sunset; EDG pick Breeze; DRG pick Split; EDG pick Ascent; DRG pick Bind; Lotus remains
342363,FunPlus Phoenix vs EDward Gaming,Champions Tour 2024: China Stage 1,2024-05-12 05:00:00,Bo5,FunPlus Phoenix vs EDward Gaming,1 - 3,4,,FPX ban Split; FPX ban Sunset; FPX pick Lotus; EDG pick Bind; FPX pick Icebox; EDG pick Breeze; Ascent remains
