map,Team,Pistol Won,Eco (won),Semi-eco (won),Semi-buy (won),Full buy(won),match_id
Bind,MIBR,1,3 (1),0 (0),9 (2),4 (0),314644
All Maps,G2,2,6 (2),4 (3),6 (3),22 (18),314644
All Maps,MIBR,2,6 (2),3 (2),14 (3),15 (5),314644
Lotus,SEN,1,3 (1),1 (0),9 (3),7 (3),314645
Lotus,LOUD,1,3 (1),0 (0),5 (3),12 (9),314645
Icebox,SEN,1,3 (1),0 (0),9 (4),9 (3),314645
Icebox,LOUD,1,3 (1),0 (0),6 (4),12 (8),314645
All Maps,SEN,2,6 (2),1 (0),18 (7),16 (6),314645
All Maps,LOUD,2,6 (2),0 (0),11 (7),24 (17),314645
Ascent,C9,1,3 (1),3 (0),4 (1),5 (0),314646
Ascent,FUR,1,3 (1),0 (0),3 (3),9 (9),314646
Lotus,C9,1,3 (2),0 (0),3 (3),10 (8),314646
Lotus,FUR,1,3 (1),3 (1),6 (1),4 (0),314646
All Maps,C9,1,3 (1),1 (1),5 (3),12 (8),314646
All Maps,FUR,1,3 (1),2 (0),8 (5),8 (2),314646
Ascent,NRG,2,2 (2),1 (0),8 (3),8 (1),314647
Ascent,EG,0,4 (0),0 (0),2 (1),13 (12),314647
Lotus,NRG,1,3 (1),2 (2),5 (3),20 (10),314647
Lotus,EG,1,3 (1),1 (0),5 (4),21 (9),314647
one,NRG,2,3 (3),0 (0),11 (5),10 (3),314647
one,EG,0,4 (0),2 (0),3 (2),15 (11),314647
All Maps,NRG,5,8 (6),3 (2),24 (11),38 (14),314647
All Maps,EG,1,11 (1),3 (0),10 (7),49 (32),314647
Sunset,KRÜ,1,3 (1),0 (0),1 (1),16 (11),314648
Sunset,100T,1,3 (1),1 (0),5 (1),11 (5),314648
Breeze,KRÜ,1,3 (1),4 (2),6 (3),11 (5),314648
Breeze,100T,1,3 (1),1 (1),5 (3),15 (8),314648
All Maps,KRÜ,2,2 (2),2 (0),3 (3),14 (8),314648
All Maps,100T,0,4 (0),1 (0),2 (1),14 (7),314648
Split,SEN,1,3 (2),0 (0),4 (3),11 (8),314650
Split,FUR,1,4 (1),0 (0),6 (1),8 (3),314650
Icebox,SEN,0,4 (0),0 (0),6 (6),12 (7),314650
Icebox,FUR,2,2 (2),0 (0),15 (6),5 (1),314650
All Maps,SEN,1,7 (2),0 (0),10 (9),23 (15),314650
All Maps,FUR,3,6 (3),0 (0),21 (7),13 (4),314650
Split,NRG,0,4 (1),2 (1),2 (1),13 (5),314651
Split,100T,2,2 (2),1 (0),4 (2),14 (9),314651
