map,Team,Pistol Won,Eco (won),Semi-eco (won),Semi-buy (won),Full buy(won),match_id
Fracture,PRX,1,2 (1),2 (1),7 (5),8 (6),458813
All Maps,GEN,1,3 (1),0 (0),2 (1),12 (11),458813
All Maps,PRX,1,3 (1),3 (0),4 (1),7 (2),458813
Lotus,DRX,2,2 (2),0 (0),4 (4),10 (7),458814
Lotus,DFM,0,3 (0),3 (1),5 (1),5 (1),458814
Ascent,DRX,2,2 (2),0 (0),6 (3),13 (8),458814
Ascent,DFM,0,4 (0),2 (0),6 (3),9 (5),458814
All Maps,DRX,4,4 (4),0 (0),10 (7),23 (15),458814
All Maps,DFM,0,7 (0),5 (1),11 (4),14 (6),458814
Lotus,TLN,1,3 (1),1 (0),6 (2),11 (5),458815
Lotus,RRQ,1,3 (1),1 (0),4 (2),13 (10),458815
Ascent,TLN,0,5 (0),0 (0),4 (2),9 (3),458815
Ascent,RRQ,2,2 (2),0 (0),6 (5),10 (6),458815
All Maps,TLN,1,8 (1),1 (0),10 (4),20 (8),458815
All Maps,RRQ,3,5 (3),1 (0),10 (7),23 (16),458815
Lotus,BME,2,2 (2),0 (0),3 (2),9 (9),458816
Lotus,GE,0,3 (0),0 (0),5 (0),6 (1),458816
Haven,BME,1,3 (1),1 (1),4 (2),16 (9),458816
Haven,GE,1,3 (1),3 (0),7 (3),11 (7),458816
All Maps,BME,3,5 (3),1 (1),7 (4),25 (18),458816
All Maps,GE,1,6 (1),3 (0),12 (3),17 (8),458816
Lotus,GEN,2,2 (2),0 (0),2 (2),11 (9),458817
Lotus,DFM,0,4 (0),1 (0),8 (2),2 (0),458817
Fracture,GEN,1,3 (1),0 (0),4 (4),10 (8),458817
Fracture,DFM,1,3 (1),2 (2),6 (1),6 (0),458817
All Maps,GEN,3,5 (3),0 (0),6 (6),21 (17),458817
All Maps,DFM,1,7 (1),3 (2),14 (3),8 (0),458817
Split,RRQ,2,2 (2),1 (0),5 (2),11 (9),458818
Split,ZETA,0,4 (0),1 (0),5 (1),9 (5),458818
Haven,RRQ,1,3 (1),1 (0),4 (1),14 (11),458818
Haven,ZETA,1,3 (1),2 (0),5 (2),12 (6),458818
All Maps,RRQ,3,5 (3),2 (0),9 (3),25 (20),458818
All Maps,ZETA,1,7 (1),3 (0),10 (3),21 (11),458818
Pearl,PRX,2,2 (2),1 (0),5 (2),13 (9),458819
Pearl,BME,0,3 (0),0 (0),7 (3),11 (5),458819
Ascent,PRX,0,4 (0),1 (0),6 (3),11 (6),458819
Ascent,BME,2,2 (2),2 (1),5 (3),13 (7),458819
All Maps,PRX,1,3 (1),1 (1),4 (2),15 (6),458819
All Maps,BME,1,3 (1),2 (0),3 (2),15 (10),458819
Haven,TLN,0,4 (0),1 (0),3 (0),10 (5),458820
Haven,NS,2,2 (2),1 (0),4 (4),11 (7),458820
Lotus,TLN,1,4 (2),1 (0),2 (0),14 (11),458820
Lotus,NS,1,3 (2),1 (0),6 (2),11 (4),458820
All Maps,TLN,1,3 (1),1 (0),3 (3),12 (9),458820
All Maps,NS,1,3 (1),2 (0),3 (2),11 (3),458820
Ascent,DRX,2,2 (2),0 (0),5 (5),9 (6),458821
Ascent,GE,0,4 (0),1 (0),4 (0),7 (3),458821
Split,DRX,0,3 (0),1 (0),3 (1),16 (12),458821
Split,GE,2,2 (2),2 (0),9 (5),10 (3),458821
All Maps,DRX,2,5 (2),1 (0),8 (6),25 (18),458821
All Maps,GE,2,6 (2),3 (0),13 (5),17 (6),458821
Haven,T1,1,3 (1),0 (0),2 (1),14 (11),458822
Haven,TS,1,3 (1),1 (0),7 (3),8 (2),458822
Icebox,T1,1,3 (1),1 (0),7 (3),11 (5),458822
Icebox,TS,1,3 (1),2 (1),3 (2),14 (9),458822
All Maps,T1,1,3 (1),1 (0),3 (3),14 (9),458822
All Maps,TS,1,4 (2),0 (0),7 (4),10 (2),458822
Pearl,NS,1,3 (1),4 (3),3 (2),13 (7),458823
Pearl,TS,1,3 (1),1 (1),5 (2),14 (6),458823
Split,NS,1,3 (1),0 (0),2 (2),11 (10),458823
Split,TS,1,2 (1),3 (0),5 (1),6 (1),458823
All Maps,NS,2,6 (2),4 (3),5 (4),24 (17),458823
All Maps,TS,2,5 (2),4 (1),10 (3),20 (7),458823
Icebox,DRX,0,3 (0),2 (0),3 (1),13 (7),458824
Icebox,BME,2,2 (2),1 (0),6 (6),12 (5),458824
Haven,DRX,1,3 (2),1 (1),8 (5),14 (6),458824
Haven,BME,1,4 (1),2 (1),4 (2),16 (8),458824
All Maps,DRX,1,3 (1),1 (1),9 (2),8 (4),458824
All Maps,BME,1,3 (1),0 (0),3 (2),15 (10),458824
Pearl,T1,0,4 (0),1 (1),7 (5),11 (7),458825
Pearl,RRQ,2,2 (2),1 (0),8 (3),12 (5),458825
Icebox,T1,2,2 (2),1 (0),6 (2),14 (6),458825
Icebox,RRQ,0,4 (0),1 (0),4 (3),14 (10),458825
All Maps,T1,1,3 (1),2 (0),4 (2),9 (2),458825
All Maps,RRQ,1,3 (1),1 (1),3 (2),11 (9),458825
Haven,GEN,2,2 (2),1 (1),5 (3),10 (7),458826
Haven,GE,0,4 (0),0 (0),4 (2),10 (3),458826
Pearl,GEN,1,3 (1),1 (1),2 (2),14 (9),458826
Pearl,GE,1,3 (1),1 (0),6 (2),10 (4),458826
All Maps,GEN,3,5 (3),2 (2),7 (5),24 (16),458826
All Maps,GE,1,7 (1),1 (0),10 (4),20 (7),458826
