match_id,match_title,event,date,format,teams,score,maps_played,patch,pick_ban_info
459852,BBL Esports vs FUT Esports,VCT 2025: EMEA Stage 1,2025-04-23 11:00:00,Bo3,BBL Esports vs FUT Esports,2 - 0,2,Patch 10.07,BBL ban Lotus; FUT ban Haven; BBL pick Ascent; FUT pick Icebox; BBL ban Pearl; FUT ban Split; Fracture remains
459853,GIANTX vs Apeks,VCT 2025: EMEA Stage 1,2025-04-23 15:00:00,Bo3,GIANTX vs Apeks,2 - 0,2,Patch 10.07,APK ban Fracture; GX ban Split; APK pick Lotus; GX pick Ascent; APK ban Haven; GX ban Pearl; Icebox remains
459854,Gentle Mates vs Movistar KOI(KOI),VCT 2025: EMEA Stage 1,2025-04-24 11:00:00,Bo3,Gentle Mates vs Movistar KOI(KOI),1 - 2,3,Patch 10.07,M8 ban Lotus; MKOI ban Haven; M8 pick Split; MKOI pick Icebox; M8 ban Ascent; MKOI ban Pearl; Fracture remains
459855,Team Vitality vs Natus Vincere,VCT 2025: EMEA Stage 1,2025-04-24 14:05:00,Bo3,Team Vitality vs Natus Vincere,0 - 2,2,Patch 10.07,VIT ban Pearl; NAVI ban Lotus; VIT pick Haven; NAVI pick Icebox; VIT ban Split; NAVI ban Fracture; Ascent remains
459856,Team Liquid vs Karmine Corp,VCT 2025: EMEA Stage 1,2025-05-02 11:00:00,Bo3,Team Liquid vs Karmine Corp,2 - 1,3,Patch 10.07,Map 1 stats unavailable due to lobby remake.
459857,FNATIC vs Team Heretics,VCT 2025: EMEA Stage 1,2025-05-02 13:30:00,Bo3,FNATIC vs Team Heretics,0 - 2,2,Patch 10.07,FNC ban Pearl; TH ban Split; FNC pick Lotus; TH pick Haven; FNC ban Ascent; TH ban Fracture; Icebox remains
482503,BBL Esports vs Natus Vincere,VCT 2025: EMEA Stage 1,2025-05-08 11:00:00,Bo3,BBL Esports vs Natus Vincere,2 - 0,2,Patch 10.08,BBL ban Split; NAVI ban Pearl; BBL pick Lotus; NAVI pick Fracture; BBL ban Icebox; NAVI ban Haven; Ascent remains
482504,FNATIC vs FUT Esports,VCT 2025: EMEA Stage 1,2025-05-08 14:00:00,Bo3,FNATIC vs FUT Esports,2 - 0,2,Patch 10.08,FUT ban Icebox; FNC ban Pearl; FUT pick Lotus; FNC pick Split; FUT ban Fracture; FNC ban Ascent; Haven remains
482505,Natus Vincere vs Karmine Corp,VCT 2025: EMEA Stage 1,2025-05-09 11:00:00,Bo3,Natus Vincere vs Karmine Corp,2 - 1,3,Patch 10.08,KC ban Fracture; NAVI ban Pearl; KC pick Icebox; NAVI pick Split; KC ban Lotus; NAVI ban Haven; Ascent remains
482506,FUT Esports vs Team Vitality,VCT 2025: EMEA Stage 1,2025-05-09 15:05:00,Bo3,FUT Esports vs Team Vitality,2 - 0,2,Patch 10.08,FUT ban Icebox; VIT ban Pearl; FUT pick Fracture; VIT pick Split; FUT ban Haven; VIT ban Lotus; Ascent remains
482507,Team Heretics vs BBL Esports,VCT 2025: EMEA Stage 1,2025-05-10 11:00:00,Bo3,Team Heretics vs BBL Esports,2 - 0,2,Patch 10.08,BBL ban Lotus; TH ban Fracture; BBL pick Ascent; TH pick Icebox; BBL ban Split; TH ban Pearl; Haven remains
482508,Team Liquid vs FNATIC,VCT 2025: EMEA Stage 1,2025-05-10 13:25:00,Bo3,Team Liquid vs FNATIC,1 - 2,3,Patch 10.08,TL ban Pearl; FNC ban Ascent; TL pick Split; FNC pick Icebox; TL ban Haven; FNC ban Lotus; Fracture remains
482510,BBL Esports vs FUT Esports,VCT 2025: EMEA Stage 1,2025-05-11 11:00:00,Bo3,BBL Esports vs FUT Esports,2 - 1,3,Patch 10.08,Map 1 stats are unavailable due to lobby remake.
482509,Team Liquid vs Natus Vincere,VCT 2025: EMEA Stage 1,2025-05-11 14:45:00,Bo3,Team Liquid vs Natus Vincere,2 - 1,3,Patch 10.08,NAVI ban Lotus; TL ban Pearl; NAVI pick Icebox; TL pick Split; NAVI ban Fracture; TL ban Haven; Ascent remains
482515,Team Heretics vs FNATIC,VCT 2025: EMEA Stage 1,2025-05-16 11:00:00,Bo3,Team Heretics vs FNATIC,0 - 2,2,Patch 10.08,FNC ban Pearl; TH ban Split; FNC pick Fracture; TH pick Icebox; FNC ban Haven; TH ban Ascent; Lotus remains
482511,Team Liquid vs BBL Esports,VCT 2025: EMEA Stage 1,2025-05-16 13:20:00,Bo3,Team Liquid vs BBL Esports,2 - 1,3,Patch 10.08,BBL ban Lotus; TL ban Pearl; BBL pick Haven; TL pick Split; BBL ban Ascent; TL ban Icebox; Fracture remains
482512,Team Heretics vs Team Liquid,VCT 2025: EMEA Stage 1,2025-05-17 12:00:00,Bo5,Team Heretics vs Team Liquid,3 - 0,3,Patch 10.08,TH ban Fracture; TL ban Pearl; TH pick Haven; TL pick Ascent; TH pick Icebox; TL pick Lotus; Split remains
482513,FNATIC vs Team Heretics,VCT 2025: EMEA Stage 1,2025-05-18 12:00:00,Bo5,FNATIC vs Team Heretics,3 - 0,3,Patch 10.08,FNC ban Pearl; FNC ban Haven; FNC pick Split; TH pick Icebox; FNC pick Fracture; TH pick Lotus; Ascent remains
