map,Team,Pistol Won,Eco (won),Semi-eco (won),Semi-buy (won),Full buy(won),match_id
Sunset,NAVI,0,4 (0),2 (1),3 (0),10 (5),530933
All Maps,GX,2,2 (2),1 (1),3 (2),11 (8),530933
All Maps,NAVI,0,4 (0),1 (0),3 (2),9 (2),530933
Ascent,BBL,0,3 (0),2 (0),4 (0),6 (2),530934
Ascent,GX,2,2 (2),0 (0),3 (2),10 (9),530934
Sunset,BBL,1,3 (1),2 (0),5 (2),11 (5),530934
Sunset,GX,1,3 (1),1 (0),1 (1),16 (11),530934
Bind,BBL,0,4 (0),2 (0),4 (3),9 (3),530934
Bind,GX,2,2 (2),2 (2),4 (3),11 (6),530934
Lotus,BBL,1,10 (1),6 (0),13 (5),26 (10),530934
Lotus,GX,5,7 (5),3 (2),8 (6),37 (26),530934
All Maps,FRA,0,4 (1),1 (0),5 (2),10 (4),538583
All Maps,EMEA,2,3 (2),0 (0),5 (3),12 (8),538583
Bind,TL,1,3 (1),2 (0),3 (2),15 (10),530935
Bind,GX,1,3 (1),1 (0),9 (4),10 (5),530935
Lotus,TL,1,3 (1),1 (0),2 (1),16 (11),530935
Lotus,GX,1,3 (1),3 (1),6 (2),10 (5),530935
Sunset,TL,2,2 (2),2 (1),7 (5),12 (5),530935
Sunset,GX,0,4 (0),2 (0),3 (3),14 (7),530935
Ascent,TL,4,8 (4),5 (1),12 (8),43 (26),530935
Ascent,GX,2,10 (2),6 (1),18 (9),34 (17),530935
