player,player_name,team,player_id,agents,agents_count,rounds,rating,acs,kd_ratio,kast,adr,kpr,apr,fkpr,fdpr,hs_percent,cl_percent,clutches,k_max,kills,deaths,assists,first_kills,first_deaths
crashies,crashies,FNC,4,"['Fade', 'Sova']",2,448,1.05,191.5,1.03,75%,133.5,0.67,0.31,0.05,0.06,33%,16%,11/67,22,301,292,141,23,29
cNed,cNed,FUT,573,"['Omen', 'Yoru']",2,247,1.05,215.8,1.05,68%,138.6,0.79,0.26,0.12,0.11,33%,11%,4/37,25,194,184,65,29,27
PROFEK,PROFEK,BBL,5554,"['Viper', 'Omen', 'Astra', 'Brimstone']",4,519,1.04,191.5,1.03,71%,130.1,0.69,0.3,0.07,0.06,26%,16%,11/67,24,358,348,158,36,33
marteen,marteen,KC,10307,"['Yoru', 'Omen', 'Waylay', 'Brimstone']",4,389,1.04,215.9,1.09,70%,138.7,0.78,0.25,0.15,0.15,34%,12%,4/34,26,302,277,96,58,59
grubinho,grubinho,GX,5550,"['Omen', 'Astra', 'Viper']",3,625,1.03,202.2,1.01,72%,132.1,0.7,0.4,0.1,0.1,29%,24%,18/76,26,437,434,253,62,63
westside,westside,GX,34684,"['Cypher', 'Deadlock', 'Killjoy', 'Viper']",4,625,1.03,196.1,1.07,68%,130.2,0.72,0.19,0.1,0.08,44%,19%,16/83,21,448,420,117,63,52
yetujey,yetujey,FUT,8369,"['Viper', 'Cypher', 'Vyse']",3,247,1.03,202.6,1.02,70%,137.9,0.71,0.21,0.1,0.1,27%,20%,9/44,24,175,171,53,24,25
Chronicle,Chronicle,FNC,458,"['Viper', 'Sage', 'Vyse', 'Cypher']",4,448,1.02,206.2,1.02,69%,139.7,0.71,0.28,0.09,0.1,27%,11%,8/72,28,320,314,125,39,43
paTiTek,paTiTek,TL,309,"['Skye', 'Gekko', 'Omen', 'Kayo', 'Deadlock']",5,494,1.02,185.9,1.04,77%,122.4,0.68,0.37,0.09,0.09,25%,21%,13/62,25,334,322,185,46,46
Minny,Minny,M8,23169,"['Viper', 'Cypher', 'Vyse', 'Killjoy', 'Deadlock']",5,306,1.01,199.1,0.99,70%,135.5,0.71,0.22,0.08,0.12,36%,20%,9/44,34,217,219,67,26,38
